          %pt            TT            TS            SS            SS2j            Tot
        0.250    7.03830E-01    1.12057E-02    4.50070E-03    1.33667E-07    7.19536E-01
        0.500    8.64473E-01    2.65007E-02    7.21594E-03    1.53277E-06    8.98191E-01
        0.750    7.72302E-01    3.53747E-02    7.83637E-03    5.70727E-06    8.15519E-01
        1.000    6.06063E-01    3.67506E-02    7.34275E-03    1.26130E-05    6.50169E-01
        1.250    4.43055E-01    3.34488E-02    6.43671E-03    2.08410E-05    4.82962E-01
        1.500    3.10087E-01    2.83975E-02    5.46699E-03    2.89771E-05    3.43980E-01
        1.750    2.10970E-01    2.32909E-02    4.52686E-03    3.59563E-05    2.38824E-01
        2.000    1.40843E-01    1.87604E-02    3.65140E-03    4.08387E-05    1.63296E-01
        2.250    9.28246E-02    1.49213E-02    2.91540E-03    4.29783E-05    1.10704E-01
        2.500    6.06407E-02    1.17470E-02    2.31493E-03    4.24445E-05    7.47451E-02
        2.750    3.93777E-02    9.17052E-03    1.82703E-03    3.99071E-05    5.04151E-02
        3.000    2.54663E-02    7.10555E-03    1.43273E-03    3.61425E-05    3.40407E-02
        3.250    1.64253E-02    5.46589E-03    1.11906E-03    3.17867E-05    2.30421E-02
        3.500    1.05761E-02    4.17572E-03    8.72907E-04    2.73074E-05    1.56521E-02
        3.750    6.80330E-03    3.17040E-03    6.82852E-04    2.30236E-05    1.06796E-02
        4.000    4.37445E-03    2.39542E-03    5.37065E-04    1.91330E-05    7.32607E-03
        4.250    2.81261E-03    1.80410E-03    4.25874E-04    1.57302E-05    5.05831E-03
        4.500    1.80886E-03    1.35708E-03    3.40642E-04    1.28387E-05    3.51943E-03
        4.750    1.16388E-03    1.02164E-03    2.75145E-04    1.04326E-05    2.47109E-03
        5.000    7.49348E-04    7.71091E-04    2.24193E-04    8.46000E-06    1.75309E-03
        5.250    4.82823E-04    5.84491E-04    1.84384E-04    6.85971E-06    1.25856E-03
        5.500    3.11358E-04    4.45470E-04    1.52815E-04    5.56908E-06    9.15212E-04
        5.750    2.00967E-04    3.41752E-04    1.27673E-04    4.53229E-06    6.74925E-04
        6.000    1.29839E-04    2.64051E-04    1.07380E-04    3.69985E-06    5.04970E-04
        6.250    8.39679E-05    2.05574E-04    9.09176E-05    3.03150E-06    3.83491E-04
        6.500    5.43572E-05    1.61283E-04    7.74171E-05    2.49363E-06    2.95551E-04
        6.750    3.52242E-05    1.27518E-04    6.62906E-05    2.05981E-06    2.31093E-04
        7.000    2.28490E-05    1.01588E-04    5.70342E-05    1.70860E-06    1.83180E-04
        7.250    1.48366E-05    8.15271E-05    4.93026E-05    1.42330E-06    1.47090E-04
        7.500    9.64361E-06    6.58904E-05    4.27906E-05    1.19055E-06    1.19515E-04
        7.750    6.27449E-06    5.36086E-05    3.72865E-05    9.99918E-07    9.81695E-05
        8.000    4.08644E-06    4.38946E-05    3.26016E-05    8.43109E-07    8.14258E-05
        8.250    2.66400E-06    3.61533E-05    2.86009E-05    7.13574E-07    6.81318E-05
        8.500    1.73835E-06    2.99456E-05    2.51643E-05    6.06143E-07    5.74544E-05
        8.750    1.13540E-06    2.49317E-05    2.22035E-05    5.16657E-07    4.87873E-05
        9.000    7.42268E-07    2.08600E-05    1.96392E-05    4.41850E-07    4.16833E-05
        9.250    4.85695E-07    1.75312E-05    1.74130E-05    3.79048E-07    3.58090E-05
        9.500    3.18090E-07    1.47969E-05    1.54707E-05    3.26154E-07    3.09118E-05
        9.750    2.08502E-07    1.25372E-05    1.37737E-05    2.81422E-07    2.68008E-05
       10.000    1.36785E-07    1.06619E-05    1.22834E-05    2.43484E-07    2.33256E-05
       10.250    8.98097E-08    9.09740E-06    1.09738E-05    2.11186E-07    2.03722E-05
       10.500    5.90145E-08    7.78703E-06    9.81735E-06    1.83616E-07    1.78470E-05
       10.750    3.88094E-08    6.68459E-06    8.79581E-06    1.59999E-07    1.56792E-05
       11.000    2.55416E-08    5.75375E-06    7.88953E-06    1.39721E-07    1.38085E-05
       11.250    1.68223E-08    4.96478E-06    7.08510E-06    1.22254E-07    1.21890E-05
       11.500    1.10876E-08    4.29387E-06    6.36860E-06    1.07174E-07    1.07807E-05
       11.750    7.31315E-09    3.72145E-06    5.72995E-06    9.41182E-08    9.55283E-06
       12.000    4.82695E-09    3.23165E-06    5.15910E-06    8.27919E-08    8.47837E-06
       12.250    3.18814E-09    2.81130E-06    4.64845E-06    7.29403E-08    7.53588E-06
       12.500    2.10712E-09    2.44968E-06    4.19059E-06    6.43558E-08    6.70673E-06
       12.750    1.39355E-09    2.13771E-06    3.77978E-06    5.68575E-08    5.97574E-06
       13.000    9.22214E-10    1.86807E-06    3.41043E-06    5.02976E-08    5.32972E-06
       13.250    6.10673E-10    1.63438E-06    3.07818E-06    4.45457E-08    4.75772E-06
       13.500    4.04620E-10    1.43157E-06    2.77880E-06    3.94957E-08    4.25027E-06
       13.750    2.68252E-10    1.25510E-06    2.50889E-06    3.50523E-08    3.79931E-06
       14.000    1.77945E-10    1.10140E-06    2.26523E-06    3.11387E-08    3.39795E-06
       14.250    1.18107E-10    9.67201E-07    2.04516E-06    2.76845E-08    3.04016E-06
       14.500    7.84333E-11    8.49970E-07    1.84618E-06    2.46336E-08    2.72087E-06
       14.750    5.21145E-11    7.47297E-07    1.66624E-06    2.19332E-08    2.43552E-06
       15.000    3.46453E-11    6.57383E-07    1.50335E-06    1.95422E-08    2.18031E-06
