          %pt            TT            TS            SS            SS2j            Tot
        0.250    1.86574E-01    3.02565E-03    4.38596E-03    1.11296E-07    1.93986E-01
        0.500    2.52359E-01    7.87588E-03    6.98778E-03    1.04559E-06    2.67223E-01
        0.750    2.49041E-01    1.15321E-02    7.46889E-03    3.30415E-06    2.68045E-01
        1.000    2.16565E-01    1.31036E-02    6.78705E-03    6.44933E-06    2.36462E-01
        1.250    1.75977E-01    1.29934E-02    5.66669E-03    9.71034E-06    1.94647E-01
        1.500    1.37309E-01    1.19385E-02    4.52198E-03    1.26102E-05    1.53782E-01
        1.750    1.04448E-01    1.04931E-02    3.51081E-03    1.49016E-05    1.18467E-01
        2.000    7.81759E-02    8.95432E-03    2.66989E-03    1.63440E-05    8.98165E-02
        2.250    5.79151E-02    7.46449E-03    2.01873E-03    1.67514E-05    6.74151E-02
        2.500    4.26349E-02    6.10399E-03    1.52749E-03    1.61789E-05    5.02826E-02
        2.750    3.12715E-02    4.91506E-03    1.15656E-03    1.49025E-05    3.73580E-02
        3.000    2.28945E-02    3.90799E-03    8.76081E-04    1.32288E-05    2.76918E-02
        3.250    1.67518E-02    3.07526E-03    6.64715E-04    1.14077E-05    2.05032E-02
        3.500    1.22607E-02    2.39933E-03    5.06158E-04    9.60849E-06    1.51758E-02
        3.750    8.98174E-03    1.85973E-03    3.87895E-04    7.94521E-06    1.12373E-02
        4.000    6.58834E-03    1.43475E-03    2.99776E-04    6.47596E-06    8.32933E-03
        4.250    4.84044E-03    1.10389E-03    2.34041E-04    5.22453E-06    6.18359E-03
        4.500    3.56263E-03    8.48533E-04    1.84668E-04    4.18596E-06    4.60001E-03
        4.750    2.62714E-03    6.52654E-04    1.47301E-04    3.34114E-06    3.43044E-03
        5.000    1.94113E-03    5.02951E-04    1.18702E-04    2.66325E-06    2.56544E-03
        5.250    1.43713E-03    3.88683E-04    9.65971E-05    2.12425E-06    1.92453E-03
        5.500    1.06613E-03    3.01439E-04    7.93124E-05    1.69801E-06    1.44858E-03
        5.750    7.92492E-04    2.34699E-04    6.56615E-05    1.36173E-06    1.09421E-03
        6.000    5.90247E-04    1.83503E-04    5.47727E-05    1.09650E-06    8.29619E-04
        6.250    4.40466E-04    1.44091E-04    4.60048E-05    8.86991E-07    6.31449E-04
        6.500    3.29315E-04    1.13631E-04    3.88852E-05    7.21041E-07    4.82552E-04
        6.750    2.46665E-04    8.99927E-05    3.30577E-05    5.89128E-07    3.70305E-04
        7.000    1.85089E-04    7.15692E-05    2.82521E-05    4.83815E-07    2.85394E-04
        7.250    1.39126E-04    5.71505E-05    2.42628E-05    3.99362E-07    2.20939E-04
        7.500    1.04752E-04    4.58177E-05    2.09297E-05    3.31292E-07    1.71831E-04
        7.750    7.89997E-05    3.68752E-05    1.81286E-05    2.76167E-07    1.34280E-04
        8.000    5.96719E-05    2.97898E-05    1.57614E-05    2.31286E-07    1.05454E-04
        8.250    4.51413E-05    2.41552E-05    1.37516E-05    1.94575E-07    8.32426E-05
        8.500    3.41992E-05    1.96566E-05    1.20358E-05    1.64388E-07    6.60559E-05
        8.750    2.59462E-05    1.60526E-05    1.05660E-05    1.39457E-07    5.27042E-05
        9.000    1.97118E-05    1.31544E-05    9.30017E-06    1.18761E-07    4.22852E-05
        9.250    1.49952E-05    1.08162E-05    8.20745E-06    1.01513E-07    3.41204E-05
        9.500    1.14218E-05    8.92299E-06    7.25918E-06    8.70674E-08    2.76911E-05
        9.750    8.71073E-06    7.38519E-06    6.43494E-06    7.49261E-08    2.26058E-05
       10.000    6.65107E-06    6.13178E-06    5.71495E-06    6.46752E-08    1.85625E-05
       10.250    5.08427E-06    5.10701E-06    5.08524E-06    5.59917E-08    1.53325E-05
       10.500    3.89090E-06    4.26640E-06    4.53207E-06    4.86058E-08    1.27380E-05
       10.750    2.98085E-06    3.57476E-06    4.04556E-06    4.23045E-08    1.06435E-05
       11.000    2.28603E-06    3.00388E-06    3.61608E-06    3.69085E-08    8.94290E-06
       11.250    1.75494E-06    2.53126E-06    3.23650E-06    3.22750E-08    7.55498E-06
       11.500    1.34855E-06    2.13881E-06    2.89994E-06    2.82829E-08    6.41559E-06
       11.750    1.03725E-06    1.81196E-06    2.60122E-06    2.48347E-08    5.47527E-06
       12.000    7.98536E-07    1.53897E-06    2.33534E-06    2.18473E-08    4.69470E-06
       12.250    6.15308E-07    1.31029E-06    2.09847E-06    1.92531E-08    4.04332E-06
       12.500    4.74529E-07    1.11822E-06    1.88691E-06    1.69945E-08    3.49666E-06
       12.750    3.66265E-07    9.56424E-07    1.69782E-06    1.50235E-08    3.03553E-06
       13.000    2.82930E-07    8.19809E-07    1.52846E-06    1.33000E-08    2.64450E-06
       13.250    2.18727E-07    7.04101E-07    1.37662E-06    1.17894E-08    2.31124E-06
       13.500    1.69222E-07    6.05909E-07    1.24032E-06    1.04632E-08    2.02592E-06
       13.750    1.31019E-07    5.22322E-07    1.11779E-06    9.29626E-09    1.78043E-06
       14.000    1.01513E-07    4.51049E-07    1.00759E-06    8.26815E-09    1.56842E-06
       14.250    7.87064E-08    3.90091E-07    9.08303E-07    7.36032E-09    1.38446E-06
       14.500    6.10652E-08    3.37880E-07    8.18849E-07    6.55799E-09    1.22435E-06
       14.750    4.74093E-08    2.93030E-07    7.38133E-07    5.84734E-09    1.08442E-06
       15.000    3.68308E-08    2.54457E-07    6.65288E-07    5.21753E-09    9.61794E-07
