          %pt            TT            TS            SS            SS2j            Tot
        0.250    1.35150E-01    2.27318E-03    2.70257E-03    5.79555E-08    1.40126E-01
        0.500    1.67044E-01    5.56088E-03    4.37116E-03    8.14344E-07    1.76977E-01
        0.750    1.50199E-01    7.84230E-03    4.87311E-03    3.41210E-06    1.62917E-01
        1.000    1.18650E-01    8.76392E-03    4.79548E-03    8.09762E-06    1.32218E-01
        1.250    8.73281E-02    8.72772E-03    4.51295E-03    1.40190E-05    1.00583E-01
        1.500    6.15451E-02    8.22652E-03    4.14546E-03    2.01106E-05    7.39372E-02
        1.750    4.21710E-02    7.53767E-03    3.66624E-03    2.54550E-05    5.34003E-02
        2.000    2.83582E-02    6.74090E-03    3.09363E-03    2.92239E-05    3.82219E-02
        2.250    1.88286E-02    5.86009E-03    2.54206E-03    3.08569E-05    2.72616E-02
        2.500    1.23935E-02    4.95121E-03    2.04834E-03    3.03908E-05    1.94235E-02
        2.750    8.10992E-03    4.07844E-03    1.62082E-03    2.83600E-05    1.38375E-02
        3.000    5.28598E-03    3.28494E-03    1.26294E-03    2.53946E-05    9.85925E-03
        3.250    3.43655E-03    2.59385E-03    9.73617E-04    2.20177E-05    7.02603E-03
        3.500    2.23067E-03    2.01263E-03    7.46591E-04    1.86026E-05    5.00850E-03
        3.750    1.44671E-03    1.53900E-03    5.72807E-04    1.54003E-05    3.57391E-03
        4.000    9.37962E-04    1.16318E-03    4.41625E-04    1.25490E-05    2.55532E-03
        4.250    6.08161E-04    8.71932E-04    3.43312E-04    1.01092E-05    1.83351E-03
        4.500    3.94463E-04    6.50319E-04    2.69513E-04    8.07974E-06    1.32237E-03
        4.750    2.56000E-04    4.84162E-04    2.13840E-04    6.42839E-06    9.60431E-04
        5.000    1.66261E-04    3.60777E-04    1.71455E-04    5.10394E-06    7.03597E-04
        5.250    1.08070E-04    2.69731E-04    1.38859E-04    4.05289E-06    5.20713E-04
        5.500    7.03112E-05    2.02698E-04    1.13531E-04    3.22344E-06    3.89763E-04
        5.750    4.57902E-05    1.53332E-04    9.36284E-05    2.57117E-06    2.95322E-04
        6.000    2.98515E-05    1.16863E-04    7.78425E-05    2.05835E-06    2.26615E-04
        6.250    1.94813E-05    8.97975E-05    6.51892E-05    1.65492E-06    1.76123E-04
        6.500    1.27273E-05    6.95819E-05    5.49638E-05    1.33666E-06    1.38610E-04
        6.750    8.32380E-06    5.43765E-05    4.66246E-05    1.08487E-06    1.10410E-04
        7.000    5.44973E-06    4.28480E-05    3.97749E-05    8.84802E-07    8.89574E-05
        7.250    3.57186E-06    3.40374E-05    3.41053E-05    7.25197E-07    7.24398E-05
        7.500    2.34355E-06    2.72470E-05    2.93831E-05    5.97233E-07    5.95709E-05
        7.750    1.53925E-06    2.19717E-05    2.54247E-05    4.94184E-07    4.94299E-05
        8.000    1.01203E-06    1.78399E-05    2.20874E-05    4.10769E-07    4.13501E-05
        8.250    6.66074E-07    1.45793E-05    1.92600E-05    3.42946E-07    3.48483E-05
        8.500    4.38816E-07    1.19868E-05    1.68506E-05    2.87520E-07    2.95637E-05
        8.750    2.89380E-07    9.91126E-06    1.47905E-05    2.42030E-07    2.52331E-05
        9.000    1.91016E-07    8.23837E-06    1.30188E-05    2.04517E-07    2.16527E-05
        9.250    1.26206E-07    6.88162E-06    1.14916E-05    1.73456E-07    1.86729E-05
        9.500    8.34615E-08    5.77474E-06    1.01678E-05    1.47622E-07    1.61737E-05
        9.750    5.52436E-08    4.86664E-06    9.01858E-06    1.26055E-07    1.40665E-05
       10.000    3.65981E-08    4.11776E-06    8.01544E-06    1.07977E-07    1.22778E-05
       10.250    2.42664E-08    3.49711E-06    7.13906E-06    9.27693E-08    1.07532E-05
       10.500    1.61033E-08    2.98034E-06    6.36946E-06    7.99289E-08    9.44583E-06
       10.750    1.06949E-08    2.54822E-06    5.69328E-06    6.90524E-08    8.32125E-06
       11.000    7.10859E-09    2.18535E-06    5.09636E-06    5.98078E-08    7.34862E-06
       11.250    4.72853E-09    1.87951E-06    4.56918E-06    5.19273E-08    6.50535E-06
       11.500    3.14772E-09    1.62072E-06    4.10165E-06    4.51882E-08    5.77070E-06
       11.750    2.09694E-09    1.40107E-06    3.68684E-06    3.94102E-08    5.12942E-06
       12.000    1.39794E-09    1.21395E-06    3.31742E-06    3.44413E-08    4.56721E-06
       12.250    9.32596E-10    1.05414E-06    2.98835E-06    3.01586E-08    4.07358E-06
       12.500    6.22580E-10    9.17172E-07    2.69415E-06    2.64566E-08    3.63840E-06
       12.750    4.15898E-10    7.99535E-07    2.43118E-06    2.32504E-08    3.25438E-06
       13.000    2.78009E-10    6.98164E-07    2.19523E-06    2.04659E-08    2.91414E-06
       13.250    1.85955E-10    6.10664E-07    1.98370E-06    1.80436E-08    2.61260E-06
       13.500    1.24458E-10    5.34897E-07    1.79329E-06    1.59309E-08    2.34424E-06
       13.750    8.33493E-11    4.69202E-07    1.62215E-06    1.40856E-08    2.10552E-06
       14.000    5.58516E-11    4.12070E-07    1.46764E-06    1.24697E-08    1.89223E-06
       14.250    3.74472E-11    3.62332E-07    1.32845E-06    1.10531E-08    1.70188E-06
       14.500    2.51215E-11    3.18909E-07    1.20246E-06    9.80818E-09    1.53120E-06
       14.750    1.68620E-11    2.80969E-07    1.08876E-06    8.71310E-09    1.37846E-06
       15.000    1.13242E-11    2.47733E-07    9.85602E-07    7.74755E-09    1.24109E-06
