          %pt            TT            TS            SS            SS2j            Tot
        0.250    1.79112E-01    2.99129E-03    2.69814E-03    4.86935E-08    1.84802E-01
        0.500    2.19993E-01    7.10680E-03    4.32186E-03    5.74709E-07    2.31423E-01
        0.750    1.96537E-01    9.57105E-03    4.70449E-03    2.18096E-06    2.10815E-01
        1.000    1.54232E-01    1.00724E-02    4.43355E-03    4.88265E-06    1.68743E-01
        1.250    1.12750E-01    9.32962E-03    3.92256E-03    8.14675E-06    1.26010E-01
        1.500    7.89117E-02    8.10099E-03    3.36651E-03    1.14086E-05    9.03906E-02
        1.750    5.36882E-02    6.81977E-03    2.80799E-03    1.42157E-05    6.33302E-02
        2.000    3.58422E-02    5.63939E-03    2.26772E-03    1.61564E-05    4.37655E-02
        2.250    2.36223E-02    4.58885E-03    1.80255E-03    1.69478E-05    3.00306E-02
        2.500    1.54320E-02    3.67594E-03    1.41814E-03    1.66194E-05    2.05427E-02
        2.750    1.00209E-02    2.90277E-03    1.10423E-03    1.54636E-05    1.40434E-02
        3.000    6.48074E-03    2.26185E-03    8.51915E-04    1.38200E-05    9.60833E-03
        3.250    4.17997E-03    1.74066E-03    6.53287E-04    1.19684E-05    6.58588E-03
        3.500    2.69144E-03    1.32417E-03    4.99933E-04    1.01063E-05    4.52565E-03
        3.750    1.73132E-03    9.97385E-04    3.83625E-04    8.36601E-06    3.12070E-03
        4.000    1.11322E-03    7.45248E-04    2.96200E-04    6.81930E-06    2.16149E-03
        4.250    7.15761E-04    5.53822E-04    2.30782E-04    5.49718E-06    1.50586E-03
        4.500    4.60325E-04    4.10350E-04    1.81644E-04    4.39788E-06    1.05672E-03
        4.750    2.96187E-04    3.03960E-04    1.44527E-04    3.50336E-06    7.48176E-04
        5.000    1.90696E-04    2.25600E-04    1.16202E-04    2.78565E-06    5.35284E-04
        5.250    1.22870E-04    1.68127E-04    9.43725E-05    2.21575E-06    3.87585E-04
        5.500    7.92351E-05    1.26008E-04    7.73633E-05    1.76562E-06    2.84372E-04
        5.750    5.11427E-05    9.51015E-05    6.39673E-05    1.41128E-06    2.11623E-04
        6.000    3.30418E-05    7.23377E-05    5.33138E-05    1.13236E-06    1.59826E-04
        6.250    2.13684E-05    5.54870E-05    4.47543E-05    9.12628E-07    1.22522E-04
        6.500    1.38330E-05    4.29293E-05    3.78212E-05    7.39020E-07    9.53225E-05
        6.750    8.96395E-06    3.35048E-05    3.21533E-05    6.01448E-07    7.52235E-05
        7.000    5.81468E-06    2.63726E-05    2.74888E-05    4.91929E-07    6.01680E-05
        7.250    3.77566E-06    2.09330E-05    2.36184E-05    4.04400E-07    4.87314E-05
        7.500    2.45413E-06    1.67472E-05    2.03893E-05    3.34068E-07    3.99247E-05
        7.750    1.59675E-06    1.35013E-05    1.76757E-05    2.77315E-07    3.30510E-05
        8.000    1.03993E-06    1.09619E-05    1.53845E-05    2.31259E-07    2.76176E-05
        8.250    6.77942E-07    8.96097E-06    1.34383E-05    1.93730E-07    2.32710E-05
        8.500    4.42381E-07    7.37100E-06    1.17779E-05    1.62973E-07    1.97542E-05
        8.750    2.88940E-07    6.09949E-06    1.03542E-05    1.37672E-07    1.68803E-05
        9.000    1.88894E-07    5.07468E-06    9.12855E-06    1.16742E-07    1.45089E-05
        9.250    1.23601E-07    4.24405E-06    8.06909E-06    9.93689E-08    1.25361E-05
        9.500    8.09483E-08    3.56599E-06    7.14976E-06    8.48712E-08    1.08816E-05
        9.750    5.30602E-08    3.00979E-06    6.34946E-06    7.27361E-08    9.48504E-06
       10.000    3.48094E-08    2.55056E-06    5.65013E-06    6.25273E-08    8.29803E-06
       10.250    2.28550E-08    2.16985E-06    5.03757E-06    5.39163E-08    7.28419E-06
       10.500    1.50182E-08    1.85233E-06    4.49903E-06    4.66182E-08    6.41300E-06
       10.750    9.87631E-09    1.58665E-06    4.02468E-06    4.04191E-08    5.66162E-06
       11.000    6.49989E-09    1.36305E-06    3.60544E-06    3.51290E-08    5.01012E-06
       11.250    4.28098E-09    1.17443E-06    3.23432E-06    3.06068E-08    4.44364E-06
       11.500    2.82162E-09    1.01442E-06    2.90480E-06    2.67236E-08    3.94877E-06
       11.750    1.86107E-09    8.78469E-07    2.61184E-06    2.33849E-08    3.51555E-06
       12.000    1.22838E-09    7.62323E-07    2.35061E-06    2.05014E-08    3.13467E-06
       12.250    8.11326E-10    6.63014E-07    2.11752E-06    1.80093E-08    2.79936E-06
       12.500    5.36226E-10    5.77643E-07    1.90887E-06    1.58458E-08    2.50289E-06
       12.750    3.54635E-10    5.04239E-07    1.72213E-06    1.39669E-08    2.24069E-06
       13.000    2.34688E-10    4.40791E-07    1.55435E-06    1.23281E-08    2.00770E-06
       13.250    1.55406E-10    3.85966E-07    1.40385E-06    1.08988E-08    1.80087E-06
       13.500    1.02969E-10    3.38348E-07    1.26816E-06    9.64664E-09    1.61626E-06
       13.750    6.82654E-11    2.97024E-07    1.14622E-06    8.55037E-09    1.45186E-06
       14.000    4.52840E-11    2.60979E-07    1.03594E-06    7.58626E-09    1.30455E-06
       14.250    3.00561E-11    2.29579E-07    9.36703E-07    6.73920E-09    1.17305E-06
       14.500    1.99599E-11    2.02088E-07    8.46695E-07    5.99163E-09    1.05480E-06
       14.750    1.32623E-11    1.78062E-07    7.65622E-07    5.33276E-09    9.49030E-07
       15.000    8.81664E-12    1.56958E-07    6.91910E-07    4.74943E-09    8.53626E-07
