          %pt            TT            TS            SS            SS2j            Tot
        0.250    1.79112E-01    2.99320E-03    2.69931E-03    5.08610E-08    1.84805E-01
        0.500    2.19993E-01    7.13242E-03    4.33395E-03    6.29375E-07    2.31460E-01
        0.750    1.96537E-01    9.65922E-03    4.74492E-03    2.45941E-06    2.10944E-01
        1.000    1.54232E-01    1.02505E-02    4.52066E-03    5.61732E-06    1.69009E-01
        1.250    1.12750E-01    9.60429E-03    4.06356E-03    9.51647E-06    1.26427E-01
        1.500    7.89117E-02    8.45845E-03    3.54247E-03    1.34712E-05    9.09261E-02
        1.750    5.36882E-02    7.22575E-03    2.97663E-03    1.68719E-05    6.39074E-02
        2.000    3.58422E-02    6.04446E-03    2.39311E-03    1.91428E-05    4.42989E-02
        2.250    2.36223E-02    4.94522E-03    1.87861E-03    1.99046E-05    3.04660E-02
        2.500    1.54320E-02    3.95547E-03    1.45069E-03    1.92275E-05    2.08574E-02
        2.750    1.00209E-02    3.09920E-03    1.10312E-03    1.75413E-05    1.42408E-02
        3.000    6.48074E-03    2.38315E-03    8.27762E-04    1.53208E-05    9.70697E-03
        3.250    4.17997E-03    1.80149E-03    6.15544E-04    1.29354E-05    6.60993E-03
        3.500    2.69144E-03    1.34071E-03    4.55831E-04    1.06281E-05    4.49861E-03
        3.750    1.73132E-03    9.84379E-04    3.38110E-04    8.54622E-06    3.06236E-03
        4.000    1.11322E-03    7.14626E-04    2.52234E-04    6.75653E-06    2.08684E-03
        4.250    7.15761E-04    5.14396E-04    1.89936E-04    5.27529E-06    1.42537E-03
        4.500    4.60325E-04    3.68104E-04    1.44561E-04    4.08229E-06    9.77072E-04
        4.750    2.96187E-04    2.62622E-04    1.11329E-04    3.14185E-06    6.73279E-04
        5.000    1.90696E-04    1.87249E-04    8.67190E-05    2.41093E-06    4.67075E-04
        5.250    1.22870E-04    1.33732E-04    6.83071E-05    1.84889E-06    3.26758E-04
        5.500    7.92351E-05    9.58368E-05    5.43650E-05    1.41914E-06    2.30856E-04
        5.750    5.11427E-05    6.90218E-05    4.36895E-05    1.09180E-06    1.64946E-04
        6.000    3.30418E-05    5.00092E-05    3.54246E-05    8.42590E-07    1.19318E-04
        6.250    2.13684E-05    3.64838E-05    2.89589E-05    6.52808E-07    8.74639E-05
        6.500    1.38330E-05    2.68127E-05    2.38519E-05    5.07919E-07    6.50055E-05
        6.750    8.96395E-06    1.98576E-05    1.97813E-05    3.97026E-07    4.89998E-05
        7.000    5.81468E-06    1.48212E-05    1.65092E-05    3.11800E-07    3.74569E-05
        7.250    3.77566E-06    1.11490E-05    1.38588E-05    2.46061E-07    2.90295E-05
        7.500    2.45413E-06    8.45075E-06    1.16959E-05    1.95102E-07    2.27959E-05
        7.750    1.59675E-06    6.45369E-06    9.91947E-06    1.55438E-07    1.81253E-05
        8.000    1.03993E-06    4.96405E-06    8.45063E-06    1.24403E-07    1.45790E-05
        8.250    6.77942E-07    3.84492E-06    7.23001E-06    1.00018E-07    1.18529E-05
        8.500    4.42381E-07    2.99778E-06    6.20900E-06    8.07581E-08    9.72992E-06
        8.750    2.88940E-07    2.35219E-06    5.35191E-06    6.54844E-08    8.05852E-06
        9.000    1.88894E-07    1.85668E-06    4.62774E-06    5.33107E-08    6.72663E-06
        9.250    1.23601E-07    1.47398E-06    4.01446E-06    4.35706E-08    5.65561E-06
        9.500    8.09483E-08    1.17647E-06    3.49172E-06    3.57403E-08    4.78487E-06
        9.750    5.30602E-08    9.43836E-07    3.04566E-06    2.94229E-08    4.07198E-06
       10.000    3.48094E-08    7.60877E-07    2.66246E-06    2.43035E-08    3.48245E-06
       10.250    2.28550E-08    6.16184E-07    2.33331E-06    2.01408E-08    2.99249E-06
       10.500    1.50182E-08    5.01185E-07    2.04860E-06    1.67425E-08    2.58155E-06
       10.750    9.87631E-09    4.09294E-07    1.80260E-06    1.39592E-08    2.23573E-06
       11.000    6.49989E-09    3.35565E-07    1.58855E-06    1.16714E-08    1.94229E-06
       11.250    4.28098E-09    2.76095E-07    1.40263E-06    9.78514E-09    1.69279E-06
       11.500    2.82162E-09    2.27969E-07    1.24001E-06    8.22495E-09    1.47903E-06
       11.750    1.86107E-09    1.88818E-07    1.09810E-06    6.93052E-09    1.29571E-06
       12.000    1.22838E-09    1.56892E-07    9.73399E-07    5.85373E-09    1.13737E-06
       12.250    8.11326E-10    1.30717E-07    8.64165E-07    4.95520E-09    1.00065E-06
       12.500    5.36226E-10    1.09226E-07    7.67736E-07    4.20382E-09    8.81702E-07
       12.750    3.54635E-10    9.14788E-08    6.83019E-07    3.57346E-09    7.78425E-07
       13.000    2.34688E-10    7.68208E-08    6.07907E-07    3.04382E-09    6.88006E-07
       13.250    1.55406E-10    6.46356E-08    5.41762E-07    2.59725E-09    6.09150E-07
       13.500    1.02969E-10    5.45182E-08    4.82887E-07    2.22041E-09    5.39728E-07
       13.750    6.82654E-11    4.60563E-08    4.30936E-07    1.90120E-09    4.78962E-07
       14.000    4.52840E-11    3.89974E-08    3.84532E-07    1.63077E-09    4.25205E-07
       14.250    3.00561E-11    3.30609E-08    3.43523E-07    1.40070E-09    3.78014E-07
       14.500    1.99599E-11    2.80879E-08    3.06771E-07    1.20509E-09    3.36084E-07
       14.750    1.32623E-11    2.38850E-08    2.74253E-07    1.03800E-09    2.99189E-07
       15.000    8.81664E-12    2.03507E-08    2.45029E-07    8.95469E-10    2.66284E-07
