          %pt            TT            TS            SS            SS2j            Tot
        0.250    1.47144E-01    1.14647E-03    2.15261E-06    1.31649E-08    1.48293E-01
        0.500    1.92318E-01    2.74923E-03    2.22262E-05    1.55393E-07    1.95089E-01
        0.750    1.83124E-01    3.79558E-03    6.62666E-05    5.90047E-07    1.86987E-01
        1.000    1.53071E-01    4.15862E-03    1.29604E-04    1.32445E-06    1.57361E-01
        1.250    1.19010E-01    4.05700E-03    2.00539E-04    2.21240E-06    1.23269E-01
        1.500    8.83999E-02    3.74465E-03    2.59380E-04    3.09592E-06    9.24070E-02
        1.750    6.36807E-02    3.37524E-03    2.85796E-04    3.85692E-06    6.73456E-02
        2.000    4.49032E-02    3.00170E-03    2.76028E-04    4.39754E-06    4.81853E-02
        2.250    3.11820E-02    2.62888E-03    2.48910E-04    4.64800E-06    3.40644E-02
        2.500    2.14135E-02    2.25936E-03    2.14422E-04    4.60539E-06    2.38919E-02
        2.750    1.45845E-02    1.90428E-03    1.78145E-04    4.33500E-06    1.66713E-02
        3.000    9.87219E-03    1.57548E-03    1.43749E-04    3.92334E-06    1.15953E-02
        3.250    6.65128E-03    1.28126E-03    1.13673E-04    3.44458E-06    8.04965E-03
        3.500    4.46527E-03    1.02569E-03    8.87525E-05    2.95248E-06    5.58266E-03
        3.750    2.98951E-03    8.09657E-04    6.90159E-05    2.48306E-06    3.87067E-03
        4.000    1.99725E-03    6.31402E-04    5.37526E-05    2.05741E-06    2.68446E-03
        4.250    1.33215E-03    4.87511E-04    4.21519E-05    1.68569E-06    1.86350E-03
        4.500    8.87409E-04    3.73518E-04    3.33463E-05    1.36995E-06    1.29564E-03
        4.750    5.90565E-04    2.84643E-04    2.66659E-05    1.10738E-06    9.02981E-04
        5.000    3.92721E-04    2.16227E-04    2.15465E-05    8.92336E-07    6.31387E-04
        5.250    2.61006E-04    1.64073E-04    1.75978E-05    7.18161E-07    4.43395E-04
        5.500    1.73393E-04    1.24591E-04    1.45108E-05    5.78139E-07    3.13073E-04
        5.750    1.15154E-04    9.48268E-05    1.20794E-05    4.66094E-07    2.22526E-04
        6.000    7.64592E-05    7.24397E-05    1.01375E-05    3.76667E-07    1.59413E-04
        6.250    5.07600E-05    5.55958E-05    8.57641E-06    3.05329E-07    1.15237E-04
        6.500    3.36962E-05    4.29076E-05    7.30498E-06    2.48401E-07    8.41571E-05
        6.750    2.23681E-05    3.33148E-05    6.26371E-06    2.02873E-07    6.21495E-05
        7.000    1.48487E-05    2.60375E-05    5.40105E-06    1.66391E-07    4.64537E-05
        7.250    9.85764E-06    2.04840E-05    4.68307E-06    1.37044E-07    3.51617E-05
        7.500    6.54479E-06    1.62261E-05    4.07951E-06    1.13371E-07    2.69638E-05
        7.750    4.34579E-06    1.29377E-05    3.57015E-06    9.41835E-08    2.09478E-05
        8.000    2.88603E-06    1.03849E-05    3.13647E-06    7.85833E-08    1.64860E-05
        8.250    1.91690E-06    8.38740E-06    2.76621E-06    6.58317E-08    1.31363E-05
        8.500    1.27343E-06    6.81640E-06    2.44731E-06    5.53776E-08    1.05925E-05
        8.750    8.46109E-07    5.57084E-06    2.17241E-06    4.67589E-08    8.63612E-06
        9.000    5.62294E-07    4.57858E-06    1.93321E-06    3.96341E-08    7.11372E-06
        9.250    3.73757E-07    3.78190E-06    1.72531E-06    3.37110E-08    5.91468E-06
        9.500    2.48489E-07    3.13951E-06    1.54282E-06    2.87751E-08    4.95959E-06
        9.750    1.65241E-07    2.61769E-06    1.38306E-06    2.46391E-08    4.19063E-06
       10.000    1.09908E-07    2.19222E-06    1.24176E-06    2.11662E-08    3.56505E-06
       10.250    7.31199E-08    1.84293E-06    1.11727E-06    1.82344E-08    3.05155E-06
       10.500    4.86569E-08    1.55524E-06    1.00648E-06    1.57552E-08    2.62613E-06
       10.750    3.23858E-08    1.31682E-06    9.08282E-07    1.36478E-08    2.27114E-06
       11.000    2.15610E-08    1.11867E-06    8.20448E-07    1.18540E-08    1.97253E-06
       11.250    1.43577E-08    9.53066E-07    7.42179E-07    1.03195E-08    1.71992E-06
       11.500    9.56329E-09    8.14316E-07    6.71877E-07    9.00537E-09    1.50476E-06
       11.750    6.37139E-09    6.97489E-07    6.08926E-07    7.87469E-09    1.32066E-06
       12.000    4.24587E-09    5.98906E-07    5.52182E-07    6.90097E-09    1.16223E-06
       12.250    2.83011E-09    5.15348E-07    5.01159E-07    6.05869E-09    1.02540E-06
       12.500    1.88689E-09    4.44394E-07    4.55017E-07    5.32962E-09    9.06628E-07
       12.750    1.25833E-09    3.83900E-07    4.13393E-07    4.69589E-09    8.03247E-07
       13.000    8.39361E-10    3.32247E-07    3.75635E-07    4.14477E-09    7.12866E-07
       13.250    5.60025E-10    2.87978E-07    3.41491E-07    3.66357E-09    6.33693E-07
       13.500    3.73742E-10    2.49997E-07    3.10432E-07    3.24333E-09    5.64046E-07
       13.750    2.49482E-10    2.17294E-07    2.82292E-07    2.87490E-09    5.02710E-07
       14.000    1.66576E-10    1.89119E-07    2.56632E-07    2.55190E-09    4.48469E-07
       14.250    1.11247E-10    1.64758E-07    2.33351E-07    2.26767E-09    4.00488E-07
       14.500    7.43131E-11    1.43696E-07    2.12080E-07    2.01762E-09    3.57868E-07
       14.750    4.96531E-11    1.25419E-07    1.92760E-07    1.79683E-09    3.20025E-07
       15.000    3.31840E-11    1.09567E-07    1.75082E-07    1.60198E-09    2.86285E-07
