          %pt            TT            TS            SS            SS2j            Tot
        0.250    1.52452E-01    1.17611E-03    2.07890E-06    1.34233E-08    1.53630E-01
        0.500    1.99256E-01    2.81511E-03    2.04830E-05    1.52606E-07    2.02091E-01
        0.750    1.89730E-01    3.87001E-03    5.99306E-05    5.65198E-07    1.93661E-01
        1.000    1.58593E-01    4.21195E-03    1.16053E-04    1.24751E-06    1.62922E-01
        1.250    1.23303E-01    4.07171E-03    1.78569E-04    2.05810E-06    1.27555E-01
        1.500    9.15889E-02    3.71651E-03    2.30796E-04    2.85344E-06    9.55391E-02
        1.750    6.59779E-02    3.31047E-03    2.55783E-04    3.53348E-06    6.95477E-02
        2.000    4.65230E-02    2.91365E-03    2.50388E-04    4.01887E-06    4.96911E-02
        2.250    3.23068E-02    2.53385E-03    2.30000E-04    4.25319E-06    3.50749E-02
        2.500    2.21860E-02    2.17162E-03    2.02634E-04    4.23469E-06    2.45645E-02
        2.750    1.51107E-02    1.83297E-03    1.72605E-04    4.01783E-06    1.71202E-02
        3.000    1.02283E-02    1.52444E-03    1.43130E-04    3.67438E-06    1.18996E-02
        3.250    6.89122E-03    1.25020E-03    1.16415E-04    3.26590E-06    8.26110E-03
        3.500    4.62635E-03    1.01194E-03    9.35306E-05    2.83800E-06    5.73466E-03
        3.750    3.09735E-03    8.09327E-04    7.47744E-05    2.42203E-06    3.98388E-03
        4.000    2.06930E-03    6.40534E-04    5.97924E-05    2.03788E-06    2.77167E-03
        4.250    1.38021E-03    5.02513E-04    4.80381E-05    1.69603E-06    1.93246E-03
        4.500    9.19422E-04    3.91565E-04    3.88454E-05    1.40034E-06    1.35123E-03
        4.750    6.11869E-04    3.03647E-04    3.16762E-05    1.14990E-06    9.48343E-04
        5.000    4.06888E-04    2.34795E-04    2.60307E-05    9.41099E-07    6.68655E-04
        5.250    2.70422E-04    1.81370E-04    2.15822E-05    7.69011E-07    4.74144E-04
        5.500    1.79648E-04    1.40173E-04    1.80199E-05    6.28265E-07    3.38470E-04
        5.750    1.19308E-04    1.08550E-04    1.51660E-05    5.13784E-07    2.43537E-04
        6.000    7.92175E-05    8.43129E-05    1.28443E-05    4.20902E-07    1.76796E-04
        6.250    5.25911E-05    6.57519E-05    1.09504E-05    3.45676E-07    1.29639E-04
        6.500    3.49117E-05    5.15118E-05    9.38676E-06    2.84712E-07    9.60950E-05
        6.750    2.31751E-05    4.05645E-05    8.09107E-06    2.35275E-07    7.20659E-05
        7.000    1.53844E-05    3.21156E-05    7.00635E-06    1.95089E-07    5.47014E-05
        7.250    1.02133E-05    2.55692E-05    6.09549E-06    1.62356E-07    4.20403E-05
        7.500    6.78089E-06    2.04715E-05    5.32368E-06    1.35603E-07    3.27117E-05
        7.750    4.50256E-06    1.64817E-05    4.66777E-06    1.13674E-07    2.57657E-05
        8.000    2.99014E-06    1.33421E-05    4.10632E-06    9.56330E-08    2.05342E-05
        8.250    1.98606E-06    1.08575E-05    3.62416E-06    8.07401E-08    1.65485E-05
        8.500    1.31936E-06    8.88097E-06    3.20776E-06    6.84000E-08    1.34765E-05
        8.750    8.76633E-07    7.29926E-06    2.84692E-06    5.81385E-08    1.10810E-05
        9.000    5.82579E-07    6.02737E-06    2.53280E-06    4.95750E-08    9.19232E-06
        9.250    3.87240E-07    4.99864E-06    2.25844E-06    4.24026E-08    7.68672E-06
        9.500    2.57453E-07    4.16294E-06    2.01787E-06    3.63755E-08    6.47463E-06
        9.750    1.71202E-07    3.48027E-06    1.80643E-06    3.12926E-08    5.48919E-06
       10.000    1.13872E-07    2.92043E-06    1.61979E-06    2.69933E-08    4.68108E-06
       10.250    7.57577E-08    2.45895E-06    1.45485E-06    2.33439E-08    4.01290E-06
       10.500    5.04122E-08    2.07721E-06    1.30844E-06    2.02381E-08    3.45630E-06
       10.750    3.35541E-08    1.75997E-06    1.17837E-06    1.75859E-08    2.98948E-06
       11.000    2.23388E-08    1.49547E-06    1.06240E-06    1.53156E-08    2.59553E-06
       11.250    1.48757E-08    1.27405E-06    9.58877E-07    1.33663E-08    2.26117E-06
       11.500    9.90829E-09    1.08813E-06    8.66224E-07    1.16887E-08    1.97595E-06
       11.750    6.60124E-09    9.31471E-07    7.83152E-07    1.02409E-08    1.73147E-06
       12.000    4.39903E-09    7.99098E-07    7.08562E-07    8.98884E-09    1.52105E-06
       12.250    2.93221E-09    6.86899E-07    6.41440E-07    7.90315E-09    1.33918E-06
       12.500    1.95496E-09    5.91562E-07    5.80993E-07    6.96002E-09    1.18147E-06
       12.750    1.30373E-09    5.10327E-07    5.26438E-07    6.13869E-09    1.04421E-06
       13.000    8.69641E-10    4.40957E-07    4.77175E-07    5.42226E-09    9.24424E-07
       13.250    5.80228E-10    3.81568E-07    4.32609E-07    4.79588E-09    8.19553E-07
       13.500    3.87224E-10    3.30633E-07    3.92273E-07    4.24744E-09    7.27541E-07
       13.750    2.58482E-10    2.86842E-07    3.55709E-07    3.76620E-09    6.46575E-07
       14.000    1.72585E-10    2.49140E-07    3.22555E-07    3.34340E-09    5.75211E-07
       14.250    1.15260E-10    2.16605E-07    2.92449E-07    2.97117E-09    5.12140E-07
       14.500    7.69939E-11    1.88500E-07    2.65112E-07    2.64313E-09    4.56332E-07
       14.750    5.14443E-11    1.64166E-07    2.40256E-07    2.35346E-09    4.06827E-07
       15.000    3.43811E-11    1.43086E-07    2.17662E-07    2.09746E-09    3.62879E-07
