          %pt            TT            TS            SS            SS2j            Tot
        0.250    4.02123E-02    3.22869E-04    1.68967E-06    1.12475E-08    4.05369E-02
        0.500    5.75653E-02    8.61532E-04    1.26279E-05    1.05238E-07    5.84396E-02
        0.750    6.01245E-02    1.30583E-03    3.04453E-05    3.31304E-07    6.14612E-02
        1.000    5.52116E-02    1.54830E-03    5.22027E-05    6.46142E-07    5.68127E-02
        1.250    4.72296E-02    1.60974E-03    7.46417E-05    9.71086E-07    4.89149E-02
        1.500    3.86577E-02    1.55717E-03    9.22811E-05    1.25634E-06    4.03084E-02
        1.750    3.07324E-02    1.44642E-03    9.91928E-05    1.47963E-06    3.22795E-02
        2.000    2.39503E-02    1.30741E-03    9.44984E-05    1.62319E-06    2.53538E-02
        2.250    1.84084E-02    1.15365E-03    8.44501E-05    1.67207E-06    1.96482E-02
        2.500    1.40121E-02    9.94745E-04    7.23692E-05    1.62855E-06    1.50808E-02
        2.750    1.05931E-02    8.40001E-04    5.99033E-05    1.51507E-06    1.14945E-02
        3.000    7.97006E-03    6.96412E-04    4.82600E-05    1.35982E-06    8.71609E-03
        3.250    5.97672E-03    5.68252E-04    3.81193E-05    1.18690E-06    6.58428E-03
        3.500    4.47194E-03    4.57219E-04    2.97664E-05    1.01293E-06    4.95994E-03
        3.750    3.34124E-03    3.63545E-04    2.31506E-05    8.49324E-07    3.72879E-03
        4.000    2.49435E-03    2.86186E-04    1.80476E-05    7.02160E-07    2.79929E-03
        4.250    1.86141E-03    2.23546E-04    1.41624E-05    5.74442E-07    2.09969E-03
        4.500    1.38902E-03    1.73610E-04    1.12185E-05    4.66352E-07    1.57432E-03
        4.750    1.03674E-03    1.34333E-04    8.97948E-06    3.76728E-07    1.18043E-03
        5.000    7.74133E-04    1.03750E-04    7.26570E-06    3.03455E-07    8.85452E-04
        5.250    5.78373E-04    8.01138E-05    5.94018E-06    2.44189E-07    6.64671E-04
        5.500    4.32414E-04    6.19390E-05    4.90500E-06    1.96583E-07    4.99455E-04
        5.750    3.23542E-04    4.79997E-05    4.08671E-06    1.58512E-07    3.75787E-04
        6.000    2.42286E-04    3.73198E-05    3.43446E-06    1.28134E-07    2.83168E-04
        6.250    1.81599E-04    2.91299E-05    2.90793E-06    1.03905E-07    2.13741E-04
        6.500    1.36240E-04    2.28376E-05    2.47985E-06    8.45670E-08    1.61642E-04
        6.750    1.02309E-04    1.79887E-05    2.12806E-06    6.91031E-08    1.22495E-04
        7.000    7.69032E-05    1.42382E-05    1.83697E-06    5.67046E-08    9.30350E-05
        7.250    5.78634E-05    1.13251E-05    1.59398E-06    4.67321E-08    7.08292E-05
        7.500    4.35807E-05    9.05200E-06    1.38992E-06    3.86808E-08    5.40613E-05
        7.750    3.28560E-05    7.27004E-06    1.21724E-06    3.21558E-08    4.13755E-05
        8.000    2.47951E-05    5.86609E-06    1.07032E-06    2.68450E-08    3.17583E-05
        8.250    1.87302E-05    4.75482E-06    9.44600E-07    2.25049E-08    2.44521E-05
        8.500    1.41626E-05    3.87080E-06    8.36356E-07    1.89422E-08    1.88887E-05
        8.750    1.07191E-05    3.16445E-06    7.42852E-07    1.60059E-08    1.46425E-05
        9.000    8.12067E-06    2.59730E-06    6.61527E-07    1.35749E-08    1.13931E-05
        9.250    6.15789E-06    2.14007E-06    5.90684E-07    1.15548E-08    8.90020E-06
        9.500    4.67383E-06    1.76976E-06    5.28545E-07    9.86868E-09    6.98200E-06
        9.750    3.55066E-06    1.46870E-06    4.74009E-07    8.45644E-09    5.50183E-06
       10.000    2.69982E-06    1.22291E-06    4.25835E-07    7.26861E-09    4.35584E-06
       10.250    2.05467E-06    1.02154E-06    3.83268E-07    6.26636E-09    3.46575E-06
       10.500    1.56504E-06    8.55911E-07    3.45444E-07    5.41733E-09    2.77181E-06
       10.750    1.19310E-06    7.19236E-07    3.11817E-07    4.69601E-09    2.22885E-06
       11.000    9.10312E-07    6.06051E-07    2.81789E-07    4.08093E-09    1.80223E-06
       11.250    6.95117E-07    5.12032E-07    2.54951E-07    3.55505E-09    1.46565E-06
       11.500    5.31218E-07    4.33680E-07    2.30878E-07    3.10390E-09    1.19888E-06
       11.750    4.06283E-07    3.68197E-07    2.09270E-07    2.71592E-09    9.86466E-07
       12.000    3.10970E-07    3.13307E-07    1.89811E-07    2.38122E-09    8.16469E-07
       12.250    2.38197E-07    2.67173E-07    1.72283E-07    2.09185E-09    6.79744E-07
       12.500    1.82589E-07    2.28295E-07    1.56441E-07    1.84095E-09    5.69166E-07
       12.750    1.40064E-07    1.95447E-07    1.42129E-07    1.62295E-09    4.79263E-07
       13.000    1.07519E-07    1.67630E-07    1.29155E-07    1.43307E-09    4.05738E-07
       13.250    8.25938E-08    1.44013E-07    1.17405E-07    1.26735E-09    3.45280E-07
       13.500    6.34899E-08    1.23925E-07    1.06726E-07    1.12240E-09    2.95263E-07
       13.750    4.88372E-08    1.06793E-07    9.70356E-08    9.95370E-10    2.53661E-07
       14.000    3.75907E-08    9.21617E-08    8.82080E-08    8.83842E-10    2.18844E-07
       14.250    2.89526E-08    7.96331E-08    8.01876E-08    7.85736E-10    1.89559E-07
       14.500    2.23134E-08    6.88932E-08    7.28651E-08    6.99307E-10    1.64771E-07
       14.750    1.72072E-08    5.96634E-08    6.62095E-08    6.23022E-10    1.43703E-07
       15.000    1.32775E-08    5.17245E-08    6.01190E-08    5.55608E-10    1.25677E-07
