          %pt            TT            TS            SS            SS2j            Tot
        0.250    3.17538E-02    2.56697E-04    1.78807E-06    6.57209E-09    3.20123E-02
        0.500    4.17498E-02    6.56454E-04    2.23828E-05    9.18254E-08    4.24287E-02
        0.750    3.99933E-02    1.00451E-03    7.25755E-05    3.83881E-07    4.10708E-02
        1.000    3.36333E-02    1.24994E-03    1.47865E-04    9.11572E-07    3.50321E-02
        1.250    2.63101E-02    1.40189E-03    2.33757E-04    1.57763E-06    2.79473E-02
        1.500    1.96645E-02    1.48907E-03    3.05912E-04    2.25932E-06    2.14617E-02
        1.750    1.42547E-02    1.52715E-03    3.39370E-04    2.85760E-06    1.61240E-02
        2.000    1.01152E-02    1.51314E-03    3.29170E-04    3.29020E-06    1.19608E-02
        2.250    7.06925E-03    1.44124E-03    2.97508E-04    3.49953E-06    8.81149E-03
        2.500    4.88607E-03    1.31881E-03    2.56550E-04    3.48147E-06    6.46491E-03
        2.750    3.34959E-03    1.16437E-03    2.13044E-04    3.28542E-06    4.73029E-03
        3.000    2.28228E-03    9.97085E-04    1.71707E-04    2.97768E-06    3.45405E-03
        3.250    1.54790E-03    8.31942E-04    1.35457E-04    2.61586E-06    2.51791E-03
        3.500    1.04615E-03    6.78800E-04    1.05445E-04    2.24178E-06    1.83264E-03
        3.750    7.05149E-04    5.43455E-04    8.16734E-05    1.88399E-06    1.33216E-03
        4.000    4.74324E-04    4.28196E-04    6.33358E-05    1.55901E-06    9.67415E-04
        4.250    3.18554E-04    3.33084E-04    4.94155E-05    1.27517E-06    7.02329E-04
        4.500    2.13681E-04    2.56510E-04    3.88872E-05    1.03410E-06    5.10112E-04
        4.750    1.43201E-04    1.96142E-04    3.09148E-05    8.33852E-07    3.71092E-04
        5.000    9.59014E-05    1.49285E-04    2.48331E-05    6.70026E-07    2.70690E-04
        5.250    6.41918E-05    1.13374E-04    2.01517E-05    5.37597E-07    1.98255E-04
        5.500    4.29509E-05    8.60802E-05    1.65135E-05    4.31317E-07    1.45976E-04
        5.750    2.87312E-05    6.54628E-05    1.36532E-05    3.46492E-07    1.08194E-04
        6.000    1.92161E-05    4.99322E-05    1.13846E-05    2.78938E-07    8.08118E-05
        6.250    1.28511E-05    3.82473E-05    9.56430E-06    2.25215E-07    6.08879E-05
        6.500    8.59419E-06    2.94452E-05    8.09295E-06    1.82451E-07    4.63148E-05
        6.750    5.74756E-06    2.27998E-05    6.89086E-06    1.48374E-07    3.55866E-05
        7.000    3.84410E-06    1.77630E-05    5.90254E-06    1.21142E-07    2.76307E-05
        7.250    2.57130E-06    1.39282E-05    5.08255E-06    9.93242E-08    2.16814E-05
        7.500    1.72017E-06    1.09925E-05    4.39848E-06    8.17766E-08    1.71930E-05
        7.750    1.15097E-06    8.73225E-06    3.82332E-06    6.76152E-08    1.37742E-05
        8.000    7.70257E-07    6.98098E-06    3.33735E-06    5.61373E-08    1.11447E-05
        8.250    5.15579E-07    5.61561E-06    2.92417E-06    4.67993E-08    9.10216E-06
        8.500    3.45184E-07    4.54422E-06    2.57111E-06    3.91683E-08    7.49968E-06
        8.750    2.31156E-07    3.69819E-06    2.26803E-06    3.29083E-08    6.23028E-06
        9.000    1.54834E-07    3.02598E-06    2.00655E-06    2.77507E-08    5.21511E-06
        9.250    1.03737E-07    2.48861E-06    1.78015E-06    2.34851E-08    4.39598E-06
        9.500    6.95204E-08    2.05659E-06    1.58323E-06    1.99429E-08    3.72928E-06
        9.750    4.66021E-08    1.70725E-06    1.41143E-06    1.69904E-08    3.18227E-06
       10.000    3.12474E-08    1.42334E-06    1.26094E-06    1.45203E-08    2.73005E-06
       10.250    2.09576E-08    1.19137E-06    1.12877E-06    1.24464E-08    2.35354E-06
       10.500    1.40600E-08    1.00098E-06    1.01228E-06    1.06992E-08    2.03802E-06
       10.750    9.43522E-09    8.43955E-07    9.09352E-07    9.22227E-09    1.77196E-06
       11.000    6.33342E-09    7.13937E-07    8.18159E-07    7.96988E-09    1.54640E-06
       11.250    4.25252E-09    6.05801E-07    7.37140E-07    6.90456E-09    1.35410E-06
       11.500    2.85611E-09    5.15550E-07    6.65033E-07    5.99577E-09    1.18943E-06
       11.750    1.91879E-09    4.39927E-07    6.00658E-07    5.21825E-09    1.04772E-06
       12.000    1.28944E-09    3.76360E-07    5.43131E-07    4.55129E-09    9.25332E-07
       12.250    8.66751E-10    3.22741E-07    4.91553E-07    3.97762E-09    8.19139E-07
       12.500    5.82788E-10    2.77381E-07    4.45294E-07    3.48301E-09    7.26741E-07
       12.750    3.91966E-10    2.38893E-07    4.03662E-07    3.05550E-09    6.46003E-07
       13.000    2.63698E-10    2.06146E-07    3.66200E-07    2.68516E-09    5.75295E-07
       13.250    1.77453E-10    1.78213E-07    3.32375E-07    2.36363E-09    5.13129E-07
       13.500    1.19449E-10    1.54323E-07    3.01848E-07    2.08388E-09    4.58374E-07
       13.750    8.04265E-11    1.33848E-07    2.74208E-07    1.83999E-09    4.09977E-07
       14.000    5.41669E-11    1.16257E-07    2.49196E-07    1.62695E-09    3.67134E-07
       14.250    3.64911E-11    1.01116E-07    2.26495E-07    1.44051E-09    3.29088E-07
       14.500    2.45899E-11    8.80528E-08    2.05905E-07    1.27706E-09    2.95259E-07
       14.750    1.65745E-11    7.67665E-08    1.87178E-07    1.13352E-09    2.65095E-07
       15.000    1.11749E-11    6.69936E-08    1.70161E-07    1.00725E-09    2.38173E-07
