          %pt            TT            TS            SS            SS2j            Tot
        0.250    4.20913E-02    3.35661E-04    1.53901E-06    5.78197E-09    4.24285E-02
        0.500    5.50136E-02    8.19173E-04    1.65905E-05    7.10262E-08    5.58494E-02
        0.750    5.23837E-02    1.16570E-03    5.01286E-05    2.76403E-07    5.35998E-02
        1.000    4.37868E-02    1.33077E-03    9.87979E-05    6.30810E-07    4.52170E-02
        1.250    3.40434E-02    1.36507E-03    1.53460E-04    1.06729E-06    3.55630E-02
        1.500    2.52873E-02    1.33223E-03    1.97710E-04    1.50765E-06    2.68187E-02
        1.750    1.82162E-02    1.26825E-03    2.14372E-04    1.88747E-06    1.97007E-02
        2.000    1.28448E-02    1.18089E-03    2.00967E-04    2.15032E-06    1.42288E-02
        2.250    8.91977E-03    1.06834E-03    1.74828E-04    2.25687E-06    1.01652E-02
        2.500    6.12546E-03    9.35403E-04    1.44761E-04    2.20768E-06    7.20783E-03
        2.750    4.17198E-03    7.93869E-04    1.15053E-04    2.04227E-06    5.08295E-03
        3.000    2.82399E-03    6.55293E-04    8.84226E-05    1.81047E-06    3.56952E-03
        3.250    1.90264E-03    5.27905E-04    6.62500E-05    1.55331E-06    2.49834E-03
        3.500    1.27732E-03    4.16214E-04    4.87906E-05    1.29856E-06    1.74362E-03
        3.750    8.55166E-04    3.22065E-04    3.56351E-05    1.06357E-06    1.21393E-03
        4.000    5.71325E-04    2.45182E-04    2.59880E-05    8.57007E-07    8.43352E-04
        4.250    3.81070E-04    1.84140E-04    1.90348E-05    6.82054E-07    5.84926E-04
        4.500    2.53848E-04    1.36763E-04    1.40463E-05    5.37773E-07    4.05195E-04
        4.750    1.68934E-04    1.00716E-04    1.04673E-05    4.21315E-07    2.80539E-04
        5.000    1.12340E-04    7.37073E-05    7.88120E-06    3.28692E-07    1.94257E-04
        5.250    7.46623E-05    5.37279E-05    5.99738E-06    2.55891E-07    1.34644E-04
        5.500    4.96001E-05    3.90821E-05    4.61161E-06    1.99082E-07    9.34929E-05
        5.750    3.29404E-05    2.84209E-05    3.58078E-06    1.54998E-07    6.50971E-05
        6.000    2.18716E-05    2.06919E-05    2.80701E-06    1.20871E-07    4.54914E-05
        6.250    1.45202E-05    1.51025E-05    2.21919E-06    9.44943E-08    3.19363E-05
        6.500    9.63897E-06    1.10616E-05    1.76937E-06    7.40955E-08    2.25440E-05
        6.750    6.39853E-06    8.13771E-06    1.42101E-06    5.83057E-08    1.60156E-05
        7.000    4.24755E-06    6.01692E-06    1.14973E-06    4.60527E-08    1.14603E-05
        7.250    2.81983E-06    4.47378E-06    9.36056E-07    3.65215E-08    8.26619E-06
        7.500    1.87217E-06    3.34609E-06    7.67048E-07    2.90805E-08    6.01439E-06
        7.750    1.24314E-06    2.51816E-06    6.31954E-07    2.32525E-08    4.41650E-06
        8.000    8.25565E-07    1.90697E-06    5.23570E-07    1.86687E-08    3.27477E-06
        8.250    5.48341E-07    1.45328E-06    4.35861E-07    1.50503E-08    2.45254E-06
        8.500    3.64270E-07    1.11447E-06    3.64555E-07    1.21815E-08    1.85547E-06
        8.750    2.42034E-07    8.59924E-07    3.06248E-07    9.89840E-09    1.41810E-06
        9.000    1.60847E-07    6.67508E-07    2.58279E-07    8.07348E-09    1.09471E-06
        9.250    1.06915E-07    5.21171E-07    2.18684E-07    6.60941E-09    8.53380E-07
        9.500    7.10816E-08    4.09206E-07    1.85770E-07    5.42986E-09    6.71488E-07
        9.750    4.72682E-08    3.23028E-07    1.58374E-07    4.47619E-09    5.33146E-07
       10.000    3.14397E-08    2.56321E-07    1.35391E-07    3.70205E-09    4.26853E-07
       10.250    2.09164E-08    2.04388E-07    1.16118E-07    3.07152E-09    3.44493E-07
       10.500    1.39186E-08    1.63747E-07    9.98161E-08    2.55607E-09    2.80038E-07
       10.750    9.26414E-09    1.31770E-07    8.60523E-08    2.13334E-09    2.29220E-07
       11.000    6.16763E-09    1.06490E-07    7.43273E-08    1.78546E-09    1.88771E-07
       11.250    4.10711E-09    8.64038E-08    6.43666E-08    1.49833E-09    1.56376E-07
       11.500    2.73563E-09    7.03757E-08    5.58263E-08    1.26058E-09    1.30198E-07
       11.750    1.82257E-09    5.75255E-08    4.85350E-08    1.06318E-09    1.08946E-07
       12.000    1.21455E-09    4.71840E-08    4.22414E-08    8.98789E-10    9.15388E-08
       12.250    8.09570E-10    3.88251E-08    3.68509E-08    7.61537E-10    7.72471E-08
       12.500    5.39756E-10    3.20457E-08    3.21642E-08    6.46637E-10    6.53964E-08
       12.750    3.59953E-10    2.65252E-08    2.81432E-08    5.50211E-10    5.55786E-08
       13.000    2.40104E-10    2.20165E-08    2.46215E-08    4.69094E-10    4.73472E-08
       13.250    1.60198E-10    1.83200E-08    2.15967E-08    4.00694E-10    4.04776E-08
       13.500    1.06911E-10    1.52819E-08    1.89302E-08    3.42893E-10    3.46619E-08
       13.750    7.13657E-11    1.27756E-08    1.66370E-08    2.93938E-10    2.97779E-08
       14.000    4.76499E-11    1.07042E-08    1.46050E-08    2.52397E-10    2.56093E-08
       14.250    3.18227E-11    8.98562E-09    1.28552E-08    2.17068E-10    2.20897E-08
       14.500    2.12577E-11    7.55811E-09    1.12976E-08    1.86975E-10    1.90640E-08
       14.750    1.42035E-11    6.36762E-09    9.95491E-09    1.61284E-10    1.64980E-08
       15.000    9.49247E-12    5.37428E-09    8.75510E-09    1.39323E-10    1.42782E-08
