          %pt            TT            TS            SS            SS2j            Tot
        0.250    8.91336E-03    8.89652E-07    2.70489E-10    7.62381E-12    8.91425E-03
        0.500    1.22244E-02    5.80587E-06    4.83145E-09    1.68417E-10    1.22302E-02
        0.750    1.24987E-02    1.65324E-05    2.12414E-08    9.44500E-10    1.25152E-02
        1.000    1.12973E-02    3.18020E-05    4.92825E-08    2.79943E-09    1.13292E-02
        1.250    9.52754E-03    4.84377E-05    7.82001E-08    5.69557E-09    9.57607E-03
        1.500    7.68258E-03    6.36260E-05    9.68457E-08    9.15033E-09    7.74631E-03
        1.750    6.00311E-03    7.59192E-05    1.01605E-07    1.26693E-08    6.07914E-03
        2.000    4.58333E-03    8.49123E-05    9.46046E-08    1.59829E-08    4.66835E-03
        2.250    3.43813E-03    9.05857E-05    8.19679E-08    1.89861E-08    3.52881E-03
        2.500    2.54385E-03    9.29361E-05    6.87285E-08    2.15980E-08    2.63688E-03
        2.750    1.86180E-03    9.19644E-05    5.64050E-08    2.36886E-08    1.95385E-03
        3.000    1.35077E-03    8.78298E-05    4.55736E-08    2.50918E-08    1.43867E-03
        3.250    9.73087E-04    8.09819E-05    3.64336E-08    2.56618E-08    1.05413E-03
        3.500    6.96961E-04    7.21838E-05    2.89278E-08    2.53357E-08    7.69199E-04
        3.750    4.96814E-04    6.24245E-05    2.29242E-08    2.41812E-08    5.59285E-04
        4.000    3.52744E-04    5.27395E-05    1.81955E-08    2.24104E-08    4.05524E-04
        4.250    2.49626E-04    4.40017E-05    1.45218E-08    2.05122E-08    2.93663E-04
        4.500    1.76163E-04    3.60024E-05    1.16720E-08    1.83073E-08    2.12196E-04
        4.750    1.24029E-04    2.92662E-05    9.46540E-09    1.63266E-08    1.53321E-04
        5.000    8.71493E-05    2.33761E-05    7.74180E-09    1.42198E-08    1.10547E-04
        5.250    6.11319E-05    1.85808E-05    6.39021E-09    1.23834E-08    7.97315E-05
        5.500    4.28193E-05    1.45425E-05    5.31738E-09    1.05527E-08    5.73777E-05
        5.750    2.99547E-05    1.13484E-05    4.46078E-09    9.00388E-09    4.13166E-05
        6.000    2.09324E-05    8.74151E-06    3.76847E-09    7.53831E-09    2.96852E-05
        6.250    1.46138E-05    6.72708E-06    3.20532E-09    6.33035E-09    2.13504E-05
        6.500    1.01941E-05    5.12322E-06    2.74250E-09    5.23276E-09    1.53253E-05
        6.750    7.10598E-06    3.90618E-06    2.35990E-09    4.34846E-09    1.10189E-05
        7.000    4.95020E-06    2.95490E-06    2.04067E-09    3.56956E-09    7.91071E-06
        7.250    3.44650E-06    2.24190E-06    1.77310E-09    2.95206E-09    5.69313E-06
        7.500    2.39839E-06    1.69137E-06    1.54691E-09    2.41935E-09    4.09372E-06
        7.750    1.66828E-06    1.28160E-06    1.35496E-09    2.00128E-09    2.95323E-06
        8.000    1.15998E-06    9.67296E-07    1.19090E-09    1.64495E-09    2.13011E-06
        8.250    8.06266E-07    7.33908E-07    1.05022E-09    1.36621E-09    1.54259E-06
        8.500    5.60236E-07    5.55351E-07    9.28810E-10    1.12967E-09    1.11765E-06
        8.750    3.89173E-07    4.22601E-07    8.23768E-10    9.44334E-10    8.13542E-07
        9.000    2.70274E-07    3.20956E-07    7.32336E-10    7.86906E-10    5.92749E-07
        9.250    1.87658E-07    2.45163E-07    6.52656E-10    6.62896E-10    4.34136E-07
        9.500    1.30268E-07    1.87004E-07    5.82762E-10    5.57046E-10    3.18412E-07
        9.750    9.04129E-08    1.43432E-07    5.21471E-10    4.73076E-10    2.34840E-07
       10.000    6.27405E-08    1.09876E-07    4.67348E-10    4.00929E-10    1.73484E-07
       10.250    4.35310E-08    8.46209E-08    4.19626E-10    3.43208E-10    1.28915E-07
       10.500    3.01987E-08    6.51067E-08    3.77247E-10    2.93253E-10    9.59759E-08
       10.750    2.09470E-08    5.03398E-08    3.39695E-10    2.52935E-10    7.18794E-08
       11.000    1.45279E-08    3.88799E-08    3.06185E-10    2.17750E-10    5.39318E-08
       11.250    1.00748E-08    3.01717E-08    2.76363E-10    1.89128E-10    4.07120E-08
       11.500    6.98603E-09    2.33934E-08    2.49638E-10    1.63985E-10    3.07931E-08
       11.750    4.84376E-09    1.82152E-08    2.25764E-10    1.43347E-10    2.34281E-08
       12.000    3.35813E-09    1.41680E-08    2.04294E-10    1.25064E-10    1.78555E-08
       12.250    2.32798E-09    1.10658E-08    1.85051E-10    1.09964E-10    1.36888E-08
       12.500    1.61372E-09    8.63527E-09    1.67687E-10    9.65127E-11    1.05132E-08
       12.750    1.11854E-09    6.76337E-09    1.52081E-10    8.53091E-11    8.11929E-09
       13.000    7.75255E-10    5.29147E-09    1.37961E-10    7.52534E-11    6.27993E-09
       13.250    5.37296E-10    4.15489E-09    1.25237E-10    6.68367E-11    4.88426E-09
       13.500    3.72357E-10    3.25946E-09    1.13703E-10    5.92487E-11    3.80477E-09
       13.750    2.58038E-10    2.56520E-09    1.03278E-10    5.28503E-11    2.97937E-09
       14.000    1.78809E-10    2.01655E-09    9.38185E-11    4.70430E-11    2.33622E-09
       14.250    1.23901E-10    1.59031E-09    8.52437E-11    4.21277E-11    1.84158E-09
       14.500    8.58504E-11    1.25296E-09    7.74578E-11    3.76500E-11    1.45392E-09
       14.750    5.94831E-11    9.89963E-10    7.03837E-11    3.38358E-11    1.15367E-09
       15.000    4.12126E-11    7.81269E-10    6.39559E-11    3.03416E-11    9.16779E-10
