          %pt            TT            TS            SS            SS2j            Tot
        0.250    8.91336E-03    9.21599E-07    2.75241E-10    7.89927E-12    8.91428E-03
        0.500    1.22244E-02    6.29727E-06    5.00324E-09    1.82659E-10    1.22307E-02
        0.750    1.24987E-02    1.85005E-05    2.22557E-08    1.05666E-09    1.25172E-02
        1.000    1.12973E-02    3.63239E-05    5.19666E-08    3.19617E-09    1.13337E-02
        1.250    9.52754E-03    5.61621E-05    8.25890E-08    6.60031E-09    9.58380E-03
        1.500    7.68258E-03    7.46822E-05    1.01909E-07    1.07334E-08    7.75737E-03
        1.750    6.00311E-03    9.00313E-05    1.05944E-07    1.50132E-08    6.09326E-03
        2.000    4.58333E-03    1.01517E-04    9.73833E-08    1.90924E-08    4.68496E-03
        2.250    3.43813E-03    1.08901E-04    8.30757E-08    2.28041E-08    3.54713E-03
        2.500    2.54385E-03    1.12012E-04    6.84916E-08    2.60057E-08    2.65596E-03
        2.750    1.86180E-03    1.10762E-04    5.52106E-08    2.85009E-08    1.97265E-03
        3.000    1.35077E-03    1.05337E-04    4.37834E-08    3.00606E-08    1.45618E-03
        3.250    9.73087E-04    9.63569E-05    3.43337E-08    3.04991E-08    1.06951E-03
        3.500    6.96961E-04    8.48838E-05    2.67300E-08    2.97582E-08    7.81901E-04
        3.750    4.96814E-04    7.22869E-05    2.07653E-08    2.79676E-08    5.69149E-04
        4.000    3.52744E-04    5.99849E-05    1.61597E-08    2.54571E-08    4.12770E-04
        4.250    2.49626E-04    4.91474E-05    1.26493E-08    2.28813E-08    2.98809E-04
        4.500    1.76163E-04    3.93881E-05    9.97893E-09    2.00022E-08    2.15581E-04
        4.750    1.24029E-04    3.13913E-05    7.94931E-09    1.74881E-08    1.55445E-04
        5.000    8.71493E-05    2.45135E-05    6.39341E-09    1.48906E-08    1.11684E-04
        5.250    6.11319E-05    1.90665E-05    5.19436E-09    1.26888E-08    8.02163E-05
        5.500    4.28193E-05    1.45584E-05    4.25918E-09    1.05486E-08    5.73925E-05
        5.750    2.99547E-05    1.10928E-05    3.52429E-09    8.78786E-09    4.10599E-05
        6.000    2.09324E-05    8.31672E-06    2.93981E-09    7.16094E-09    2.92593E-05
        6.250    1.46138E-05    6.23492E-06    2.47112E-09    5.85799E-09    2.08571E-05
        6.500    1.01941E-05    4.61089E-06    2.09146E-09    4.70187E-09    1.48118E-05
        6.750    7.10598E-06    3.41711E-06    1.78158E-09    3.79773E-09    1.05287E-05
        7.000    4.95020E-06    2.50464E-06    1.52635E-09    3.02051E-09    7.45938E-06
        7.250    3.44650E-06    1.84341E-06    1.31485E-09    2.42313E-09    5.29365E-06
        7.500    2.39839E-06    1.34495E-06    1.13810E-09    1.92041E-09    3.74639E-06
        7.750    1.66828E-06    9.86999E-07    9.89587E-10    1.53846E-09    2.65781E-06
        8.000    1.15998E-06    7.19491E-07    8.63957E-10    1.22127E-09    1.88155E-06
        8.250    8.06266E-07    5.28086E-07    7.57167E-10    9.81205E-10    1.33609E-06
        8.500    5.60236E-07    3.85505E-07    6.65842E-10    7.82659E-10    9.47190E-07
        8.750    3.89173E-07    2.83570E-07    5.87425E-10    6.32414E-10    6.73962E-07
        9.000    2.70274E-07    2.07693E-07    5.19736E-10    5.08196E-10    4.78995E-07
        9.250    1.87658E-07    1.53296E-07    4.61128E-10    4.13657E-10    3.41828E-07
        9.500    1.30268E-07    1.12708E-07    4.10100E-10    3.35045E-10    2.43722E-07
        9.750    9.04129E-08    8.35215E-08    3.65605E-10    2.74903E-10    1.74575E-07
       10.000    6.27405E-08    6.16884E-08    3.26572E-10    2.24624E-10    1.24980E-07
       10.250    4.35310E-08    4.59057E-08    2.92326E-10    1.85791E-10    8.99149E-08
       10.500    3.01987E-08    3.40514E-08    2.62090E-10    1.53046E-10    6.46652E-08
       10.750    2.09470E-08    2.54460E-08    2.35416E-10    1.27579E-10    4.67560E-08
       11.000    1.45279E-08    1.89591E-08    2.11733E-10    1.05952E-10    3.38047E-08
       11.250    1.00748E-08    1.42251E-08    1.90737E-10    8.89746E-11    2.45797E-08
       11.500    6.98603E-09    1.06419E-08    1.72004E-10    7.44355E-11    1.78744E-08
       11.750    4.84376E-09    8.01547E-09    1.55324E-10    6.29406E-11    1.30775E-08
       12.000    3.35813E-09    6.02014E-09    1.40382E-10    5.30245E-11    9.57168E-09
       12.250    2.32798E-09    4.55069E-09    1.27027E-10    4.51218E-11    7.05082E-09
       12.500    1.61372E-09    3.43043E-09    1.15014E-10    3.82561E-11    5.19743E-09
       12.750    1.11854E-09    2.60190E-09    1.04246E-10    3.27466E-11    3.85743E-09
       13.000    7.75255E-10    1.96799E-09    9.45273E-11    2.79265E-11    2.86569E-09
       13.250    5.37296E-10    1.49736E-09    8.57872E-11    2.40340E-11    2.14448E-09
       13.500    3.72357E-10    1.13627E-09    7.78838E-11    2.06091E-11    1.60712E-09
       13.750    2.58038E-10    8.67082E-10    7.07478E-11    1.78252E-11    1.21369E-09
       14.000    1.78809E-10    6.59851E-10    6.42885E-11    1.53598E-11    9.18308E-10
       14.250    1.23901E-10    5.04904E-10    5.84349E-11    1.33460E-11    7.00585E-10
       14.500    8.58504E-11    3.85350E-10    5.31330E-11    1.15542E-11    5.35887E-10
       14.750    5.94831E-11    2.95611E-10    4.83125E-11    1.00819E-11    4.13489E-10
       15.000    4.12126E-11    2.26160E-10    4.39436E-11    8.76438E-12    3.20081E-10
