          %pt            TT            TS            SS            SS2j            Tot
        0.250    8.91336E-03    8.90431E-07    2.74136E-10    7.80961E-12    8.91425E-03
        0.500    1.22244E-02    5.61778E-06    4.83703E-09    1.66869E-10    1.22300E-02
        0.750    1.24987E-02    1.56026E-05    2.10737E-08    9.12999E-10    1.25143E-02
        1.000    1.12973E-02    2.95072E-05    4.86044E-08    2.66092E-09    1.13269E-02
        1.250    9.52754E-03    4.43922E-05    7.68888E-08    5.34829E-09    9.57202E-03
        1.500    7.68258E-03    5.77523E-05    9.52182E-08    8.51096E-09    7.74043E-03
        1.750    6.00311E-03    6.83721E-05    1.00211E-07    1.16932E-08    6.07159E-03
        2.000    4.58333E-03    7.59931E-05    9.37997E-08    1.46606E-08    4.65943E-03
        2.250    3.43813E-03    8.06931E-05    8.18499E-08    1.73357E-08    3.51892E-03
        2.500    2.54385E-03    8.25402E-05    6.92052E-08    1.96632E-08    2.62648E-03
        2.750    1.86180E-03    8.15773E-05    5.73313E-08    2.15416E-08    1.94346E-03
        3.000    1.35077E-03    7.79568E-05    4.67739E-08    2.28328E-08    1.42879E-03
        3.250    9.73087E-04    7.20599E-05    3.77706E-08    2.34115E-08    1.04521E-03
        3.500    6.96961E-04    6.45217E-05    3.02852E-08    2.32197E-08    7.61536E-04
        3.750    4.96814E-04    5.61621E-05    2.42327E-08    2.23071E-08    5.53022E-04
        4.000    3.52744E-04    4.78395E-05    1.94073E-08    2.08447E-08    4.00624E-04
        4.250    2.49626E-04    4.02719E-05    1.56206E-08    1.92512E-08    2.89933E-04
        4.500    1.76163E-04    3.33115E-05    1.26493E-08    1.73712E-08    2.09505E-04
        4.750    1.24029E-04    2.73718E-05    1.03279E-08    1.56599E-08    1.51426E-04
        5.000    8.71493E-05    2.21385E-05    8.49679E-09    1.38111E-08    1.09310E-04
        5.250    6.11319E-05    1.78120E-05    7.04935E-09    1.21748E-08    7.89631E-05
        5.500    4.28193E-05    1.41350E-05    5.89126E-09    1.05202E-08    5.69707E-05
        5.750    2.99547E-05    1.11763E-05    4.96047E-09    9.09526E-09    4.11451E-05
        6.000    2.09324E-05    8.73500E-06    4.20348E-09    7.72631E-09    2.96794E-05
        6.250    1.46138E-05    6.81505E-06    3.58442E-09    6.57818E-09    2.14390E-05
        6.500    1.01941E-05    5.26848E-06    3.07339E-09    5.52008E-09    1.54712E-05
        6.750    7.10598E-06    4.07304E-06    2.64891E-09    4.65147E-09    1.11863E-05
        7.000    4.95020E-06    3.12698E-06    2.29370E-09    3.87513E-09    8.08335E-06
        7.250    3.44650E-06    2.40490E-06    1.99485E-09    3.24871E-09    5.85664E-06
        7.500    2.39839E-06    1.84023E-06    1.74166E-09    2.70075E-09    4.24306E-06
        7.750    1.66828E-06    1.41244E-06    1.52628E-09    2.26306E-09    3.08451E-06
        8.000    1.15998E-06    1.08035E-06    1.34185E-09    1.88508E-09    2.24355E-06
        8.250    8.06266E-07    8.29486E-07    1.18341E-09    1.58445E-09    1.63852E-06
        8.500    5.60236E-07    6.35241E-07    1.04653E-09    1.32603E-09    1.19785E-06
        8.750    3.89173E-07    4.88609E-07    9.27941E-10    1.12049E-09    8.79831E-07
        9.000    2.70274E-07    3.75165E-07    8.24702E-10    9.43951E-10    6.47208E-07
        9.250    1.87658E-07    2.89315E-07    7.34605E-10    8.02835E-10    4.78510E-07
        9.500    1.30268E-07    2.22771E-07    6.55611E-10    6.81093E-10    3.54377E-07
        9.750    9.04129E-08    1.72299E-07    5.86263E-10    5.83295E-10    2.63882E-07
       10.000    6.27405E-08    1.33102E-07    5.25071E-10    4.98496E-10    1.96866E-07
       10.250    4.35310E-08    1.03253E-07    4.71076E-10    4.29839E-10    1.47685E-07
       10.500    3.01987E-08    8.00062E-08    4.23164E-10    3.69917E-10    1.10998E-07
       10.750    2.09470E-08    6.22455E-08    3.80695E-10    3.21058E-10    8.38942E-08
       11.000    1.45279E-08    4.83745E-08    3.42837E-10    2.78116E-10    6.35234E-08
       11.250    1.00748E-08    3.77388E-08    3.09136E-10    2.42849E-10    4.83656E-08
       11.500    6.98603E-09    2.94103E-08    2.78976E-10    2.11653E-10    3.68870E-08
       11.750    4.84376E-09    2.30026E-08    2.52028E-10    1.85848E-10    2.82842E-08
       12.000    3.35813E-09    1.79716E-08    2.27827E-10    1.62872E-10    2.17204E-08
       12.250    2.32798E-09    1.40890E-08    2.06135E-10    1.43745E-10    1.67668E-08
       12.500    1.61372E-09    1.10334E-08    1.86596E-10    1.26613E-10    1.29603E-08
       12.750    1.11854E-09    8.66832E-09    1.69034E-10    1.12264E-10    1.00682E-08
       13.000    7.75255E-10    6.80267E-09    1.53173E-10    9.93377E-11    7.83043E-09
       13.250    5.37296E-10    5.35496E-09    1.38879E-10    8.84523E-11    6.11958E-09
       13.500    3.72357E-10    4.21081E-09    1.25945E-10    7.85979E-11    4.78771E-09
       13.750    2.58038E-10    3.32064E-09    1.14261E-10    7.02545E-11    3.76319E-09
       14.000    1.78809E-10    2.61561E-09    1.03674E-10    6.26610E-11    2.96075E-09
       14.250    1.23901E-10    2.06603E-09    9.40888E-11    5.62048E-11    2.34022E-09
       14.500    8.58504E-11    1.63014E-09    8.53894E-11    5.03058E-11    1.85168E-09
       14.750    5.94831E-11    1.28954E-09    7.75033E-11    4.52658E-11    1.47179E-09
       15.000    4.12126E-11    1.01887E-09    7.03352E-11    4.06387E-11    1.17106E-09
