          %pt            TT            TS            SS            SS2j            Tot
        0.250    1.49575E-03    3.05618E-07    2.11629E-10    4.80665E-12    1.49605E-03
        0.500    2.07303E-03    2.36009E-06    4.04525E-09    1.24183E-10    2.07540E-03
        0.750    2.14193E-03    7.50301E-06    1.87257E-08    7.70898E-10    2.14945E-03
        1.000    1.95649E-03    1.54780E-05    4.51075E-08    2.43215E-09    1.97202E-03
        1.250    1.66742E-03    2.47148E-05    7.35040E-08    5.15206E-09    1.69222E-03
        1.500    1.35873E-03    3.35867E-05    9.25919E-08    8.50725E-09    1.39242E-03
        1.750    1.07291E-03    4.11137E-05    9.79815E-08    1.20075E-08    1.11414E-03
        2.000    8.27812E-04    4.69050E-05    9.17631E-08    1.53559E-08    8.74824E-04
        2.250    6.27530E-04    5.08352E-05    7.98130E-08    1.84192E-08    6.78463E-04
        2.500    4.69209E-04    5.28316E-05    6.69681E-08    2.10982E-08    5.22129E-04
        2.750    3.47032E-04    5.28497E-05    5.48621E-08    2.32546E-08    3.99960E-04
        3.000    2.54436E-04    5.09503E-05    4.41914E-08    2.47192E-08    3.05455E-04
        3.250    1.85230E-04    4.73730E-05    3.51882E-08    2.53456E-08    2.32664E-04
        3.500    1.34070E-04    4.25508E-05    2.78270E-08    2.50709E-08    1.76673E-04
        3.750    9.65778E-05    3.70616E-05    2.19585E-08    2.39625E-08    1.33685E-04
        4.000    6.92956E-05    3.15238E-05    1.73602E-08    2.22313E-08    1.00859E-04
        4.250    4.95562E-05    2.64693E-05    1.37983E-08    2.03629E-08    7.60596E-05
        4.500    3.53415E-05    2.17873E-05    1.10486E-08    1.81803E-08    5.71580E-05
        4.750    2.51451E-05    1.78122E-05    8.92352E-09    1.62145E-08    4.29824E-05
        5.000    1.78549E-05    1.43050E-05    7.27213E-09    1.41185E-08    3.21813E-05
        5.250    1.26568E-05    1.14297E-05    5.97886E-09    1.22898E-08    2.41048E-05
        5.500    8.95894E-06    8.98943E-06    4.95768E-09    1.04654E-08    1.79638E-05
        5.750    6.33351E-06    7.04850E-06    4.14312E-09    8.92167E-09    1.33951E-05
        6.000    4.47261E-06    5.45406E-06    3.48819E-09    7.46072E-09    9.93762E-06
        6.250    3.15549E-06    4.21568E-06    2.95612E-09    6.25736E-09    7.38038E-06
        6.500    2.22441E-06    3.22378E-06    2.52109E-09    5.16458E-09    5.45588E-06
        6.750    1.56694E-06    2.46795E-06    2.16185E-09    4.28494E-09    4.04134E-06
        7.000    1.10309E-06    1.87415E-06    1.86363E-09    3.51078E-09    2.98262E-06
        7.250    7.76120E-07    1.42731E-06    1.61395E-09    2.89792E-09    2.20794E-06
        7.500    5.45798E-07    1.08057E-06    1.40390E-09    2.36983E-09    1.63015E-06
        7.750    3.83658E-07    8.21671E-07    1.22591E-09    1.95606E-09    1.20851E-06
        8.000    2.69579E-07    6.22247E-07    1.07445E-09    1.60386E-09    8.94504E-07
        8.250    1.89355E-07    4.73682E-07    9.44793E-10    1.32889E-09    6.65311E-07
        8.500    1.32963E-07    3.59528E-07    8.33356E-10    1.09589E-09    4.94420E-07
        8.750    9.33393E-08    2.74449E-07    7.37126E-10    9.13738E-10    3.69439E-07
        9.000    6.55070E-08    2.09064E-07    6.53712E-10    7.59243E-10    2.75984E-07
        9.250    4.59634E-08    1.60175E-07    5.81114E-10    6.37844E-10    2.07358E-07
        9.500    3.22439E-08    1.22512E-07    5.17715E-10    5.34414E-10    1.55808E-07
        9.750    2.26152E-08    9.42393E-08    4.62179E-10    4.52560E-10    1.17769E-07
       10.000    1.58592E-08    7.23921E-08    4.13354E-10    3.82360E-10    8.90470E-08
       10.250    1.11197E-08    5.59097E-08    3.70352E-10    3.26351E-10    6.77260E-08
       10.500    7.79550E-09    4.31252E-08    3.32314E-10    2.77967E-10    5.15309E-08
       10.750    5.46436E-09    3.34351E-08    2.98658E-10    2.39031E-10    3.94372E-08
       11.000    3.82986E-09    2.58923E-08    2.68724E-10    2.05124E-10    3.01960E-08
       11.250    2.68398E-09    2.01470E-08    2.42131E-10    1.77619E-10    2.32507E-08
       11.500    1.88076E-09    1.56582E-08    2.18367E-10    1.53499E-10    1.79108E-08
       11.750    1.31779E-09    1.22245E-08    1.97179E-10    1.33767E-10    1.38732E-08
       12.000    9.23262E-10    9.53295E-09    1.78166E-10    1.16328E-10    1.07507E-08
       12.250    6.46797E-10    7.46518E-09    1.61163E-10    1.01965E-10    8.37510E-09
       12.500    4.53085E-10    5.83911E-09    1.45846E-10    8.91942E-11    6.52724E-09
       12.750    3.17368E-10    4.58529E-09    1.32120E-10    7.85960E-11    5.11337E-09
       13.000    2.22290E-10    3.59656E-09    1.19706E-10    6.91060E-11    4.00766E-09
       13.250    1.55686E-10    2.83141E-09    1.08561E-10    6.11872E-11    3.15684E-09
       13.500    1.09033E-10    2.22641E-09    9.84498E-11    5.40611E-11    2.48795E-09
       13.750    7.63563E-11    1.75678E-09    8.93559E-11    4.80750E-11    1.97056E-09
       14.000    5.34701E-11    1.38458E-09    8.10844E-11    4.26546E-11    1.56179E-09
       14.250    3.74420E-11    1.09480E-09    7.36336E-11    3.80817E-11    1.24395E-09
       14.500    2.62173E-11    8.64620E-10    6.68401E-11    3.39238E-11    9.91602E-10
       14.750    1.83570E-11    6.84957E-10    6.07132E-11    3.03957E-11    7.94423E-10
       15.000    1.28529E-11    5.41973E-10    5.51169E-11    2.71707E-11    6.37114E-10
