          %pt            TT            TS            SS            SS2j            Tot
        0.250    1.63324E-04    7.83682E-08    1.88221E-10    3.56543E-12    1.63403E-04
        0.500    2.62679E-04    4.54553E-07    3.15318E-09    6.49859E-11    2.63137E-04
        0.750    3.14957E-04    1.17665E-06    1.31223E-08    3.06739E-10    3.16147E-04
        1.000    3.33850E-04    2.13658E-06    2.91370E-08    7.93822E-10    3.36016E-04
        1.250    3.30177E-04    3.16834E-06    4.47153E-08    1.45381E-09    3.33391E-04
        1.500    3.12221E-04    4.14771E-06    5.41471E-08    2.15151E-09    3.16425E-04
        1.750    2.86101E-04    5.02302E-06    5.61442E-08    2.79405E-09    2.91183E-04
        2.000    2.56161E-04    5.78673E-06    5.18402E-08    3.35477E-09    2.62003E-04
        2.250    2.25343E-04    6.43557E-06    4.46311E-08    3.83837E-09    2.31827E-04
        2.500    1.95525E-04    6.94928E-06    3.73448E-08    4.24578E-09    2.02516E-04
        2.750    1.67816E-04    7.29193E-06    3.06652E-08    4.56172E-09    1.75143E-04
        3.000    1.42781E-04    7.42667E-06    2.48327E-08    4.75996E-09    1.50237E-04
        3.250    1.20623E-04    7.33345E-06    1.99030E-08    4.81563E-09    1.27981E-04
        3.500    1.01315E-04    7.02210E-06    1.58445E-08    4.71744E-09    1.08358E-04
        3.750    8.46934E-05    6.53740E-06    1.25811E-08    4.47658E-09    9.12479E-05
        4.000    7.05188E-05    5.95309E-06    1.00025E-08    4.12963E-09    7.64860E-05
        4.250    5.85227E-05    5.35789E-06    7.99115E-09    3.76540E-09    6.38924E-05
        4.500    4.84327E-05    4.73268E-06    6.42842E-09    3.35027E-09    5.31751E-05
        4.750    3.99884E-05    4.15604E-06    5.21467E-09    2.98045E-09    4.41527E-05
        5.000    3.29508E-05    3.58817E-06    4.26671E-09    2.59065E-09    3.65458E-05
        5.250    2.71056E-05    3.08405E-06    3.52141E-09    2.25256E-09    3.01954E-05
        5.500    2.22648E-05    2.61097E-06    2.93047E-09    1.91716E-09    2.48806E-05
        5.750    1.82656E-05    2.20464E-06    2.45748E-09    1.63418E-09    2.04743E-05
        6.000    1.49685E-05    1.83808E-06    2.07580E-09    1.36711E-09    1.68100E-05
        6.250    1.22549E-05    1.53122E-06    1.76473E-09    1.14734E-09    1.37891E-05
        6.500    1.00250E-05    1.26254E-06    1.50952E-09    9.47954E-10    1.12900E-05
        6.750    8.19500E-06    1.04233E-06    1.29820E-09    7.87450E-10    9.23942E-06
        7.000    6.69478E-06    8.53932E-07    1.12219E-09    6.46191E-10    7.55048E-06
        7.250    5.46615E-06    7.01650E-07    9.74497E-10    5.34259E-10    6.16931E-06
        7.500    4.46078E-06    5.73299E-07    8.49835E-10    4.37745E-10    5.03537E-06
        7.750    3.63874E-06    4.70495E-07    7.43990E-10    3.62020E-10    4.11034E-06
        8.000    2.96702E-06    3.84649E-07    6.53617E-10    2.97490E-10    3.35262E-06
        8.250    2.41845E-06    3.16097E-07    5.76127E-10    2.47024E-10    2.73537E-06
        8.500    1.97070E-06    2.59073E-07    5.09313E-10    2.04211E-10    2.23048E-06
        8.750    1.60539E-06    2.13533E-07    4.51522E-10    1.70667E-10    1.81954E-06
        9.000    1.30747E-06    1.75662E-07    4.01278E-10    1.42171E-10    1.48367E-06
        9.250    1.06459E-06    1.45332E-07    3.57484E-10    1.19734E-10    1.21040E-06
        9.500    8.66650E-07    1.20069E-07    3.19119E-10    1.00593E-10    9.87138E-07
        9.750    7.05382E-07    9.97453E-08    2.85479E-10    8.54041E-11    8.05498E-07
       10.000    5.74025E-07    8.27621E-08    2.55804E-10    7.23535E-11    6.57116E-07
       10.250    4.67058E-07    6.90347E-08    2.29655E-10    6.19179E-11    5.36384E-07
       10.500    3.79970E-07    5.75259E-08    2.06436E-10    5.28906E-11    4.37755E-07
       10.750    3.09080E-07    4.81724E-08    1.85896E-10    4.56042E-11    3.57484E-07
       11.000    2.51387E-07    4.02981E-08    1.67548E-10    3.92457E-11    2.91892E-07
       11.250    2.04440E-07    3.38688E-08    1.51261E-10    3.40756E-11    2.38495E-07
       11.500    1.66245E-07    2.84393E-08    1.36636E-10    2.95358E-11    1.94850E-07
       11.750    1.35173E-07    2.39823E-08    1.23615E-10    2.58095E-11    1.59304E-07
       12.000    1.09899E-07    2.02032E-08    1.11869E-10    2.25087E-11    1.30236E-07
       12.250    8.93436E-08    1.70891E-08    1.01387E-10    1.97838E-11    1.06554E-07
       12.500    7.26278E-08    1.44417E-08    9.18868E-11    1.73575E-11    8.71787E-08
       12.750    5.90355E-08    1.22496E-08    8.33994E-11    1.53369E-11    7.13837E-08
       13.000    4.79840E-08    1.03794E-08    7.56713E-11    1.35235E-11    5.84525E-08
       13.250    3.89991E-08    8.82601E-09    6.87597E-11    1.20064E-11    4.79059E-08
       13.500    3.16949E-08    7.49794E-09    6.24426E-11    1.06394E-11    3.92659E-08
       13.750    2.57575E-08    6.39029E-09    5.67863E-11    9.48681E-12    3.22140E-08
       14.000    2.09313E-08    5.44045E-09    5.16011E-11    8.44084E-12    2.64318E-08
       14.250    1.70087E-08    4.64628E-09    4.69536E-11    7.55602E-12    2.17095E-08
       14.500    1.38206E-08    3.96405E-09    4.26807E-11    6.75034E-12    1.78341E-08
       14.750    1.12297E-08    3.39166E-09    3.88473E-11    6.06418E-12    1.46663E-08
       15.000    9.12419E-09    2.89876E-09    3.53160E-11    5.43561E-12    1.20637E-08
