          %pt            TT            TS            SS            SS2j            Tot
        0.250    8.64554E-02    8.32425E-04    2.53728E-06    1.75626E-08    8.72904E-02
        0.500    1.18469E-01    2.17535E-03    3.36262E-05    2.54982E-07    1.20679E-01
        0.750    1.18289E-01    3.31957E-03    1.10833E-04    1.09426E-06    1.21720E-01
        1.000    1.03700E-01    4.05445E-03    2.27072E-04    2.65094E-06    1.07984E-01
        1.250    8.45742E-02    4.42029E-03    3.59864E-04    4.66260E-06    8.93590E-02
        1.500    6.59106E-02    4.54461E-03    4.72385E-04    6.77055E-06    7.09344E-02
        1.750    4.98240E-02    4.51948E-03    5.27075E-04    8.67661E-06    5.48792E-02
        2.000    3.68734E-02    4.37222E-03    5.15765E-04    1.01288E-05    4.17715E-02
        2.250    2.68796E-02    4.10320E-03    4.70462E-04    1.09394E-05    3.14642E-02
        2.500    1.93807E-02    3.73029E-03    4.09217E-04    1.10684E-05    2.35312E-02
        2.750    1.38615E-02    3.29259E-03    3.42769E-04    1.06345E-05    1.75075E-02
        3.000    9.85472E-03    2.83139E-03    2.78589E-04    9.81923E-06    1.29745E-02
        3.250    6.97468E-03    2.37973E-03    2.21724E-04    8.79043E-06    9.58492E-03
        3.500    4.91960E-03    1.96052E-03    1.74159E-04    7.67929E-06    7.06195E-03
        3.750    3.46114E-03    1.58743E-03    1.36211E-04    6.57942E-06    5.19136E-03
        4.000    2.43031E-03    1.26672E-03    1.06692E-04    5.55203E-06    3.80927E-03
        4.250    1.70398E-03    9.98787E-04    8.41329E-05    4.63095E-06    2.79153E-03
        4.500    1.19340E-03    7.80275E-04    6.69344E-05    3.83025E-06    2.04444E-03
        4.750    8.35133E-04    6.05469E-04    5.38196E-05    3.14963E-06    1.49757E-03
        5.000    5.84071E-04    4.67807E-04    4.37307E-05    2.58084E-06    1.09819E-03
        5.250    4.08315E-04    3.60654E-04    3.59065E-05    2.11107E-06    8.06987E-04
        5.500    2.85370E-04    2.77980E-04    2.97699E-05    1.72644E-06    5.94846E-04
        5.750    1.99412E-04    2.14550E-04    2.49071E-05    1.41316E-06    4.40283E-04
        6.000    1.39337E-04    1.66052E-04    2.10126E-05    1.15887E-06    3.27561E-04
        6.250    9.73620E-05    1.29009E-04    1.78614E-05    9.52728E-07    2.45185E-04
        6.500    6.80366E-05    1.00703E-04    1.52884E-05    7.85650E-07    1.84813E-04
        6.750    4.75499E-05    7.90250E-05    1.31672E-05    6.50065E-07    1.40392E-04
        7.000    3.32376E-05    6.23716E-05    1.14061E-05    5.39849E-07    1.07555E-04
        7.250    2.32378E-05    4.95228E-05    9.93038E-06    4.50010E-07    8.31410E-05
        7.500    1.62503E-05    3.95622E-05    8.68786E-06    3.76575E-07    6.48770E-05
        7.750    1.13668E-05    3.17979E-05    7.63169E-06    3.16333E-07    5.11127E-05
        8.000    7.95301E-06    2.57116E-05    6.73162E-06    2.66749E-07    4.06629E-05
        8.250    5.56610E-06    2.09117E-05    5.95745E-06    2.25776E-07    3.26610E-05
        8.500    3.89674E-06    1.71039E-05    5.29041E-06    1.91796E-07    2.64828E-05
        8.750    2.72889E-06    1.40649E-05    4.71107E-06    1.63505E-07    2.16684E-05
        9.000    1.91167E-06    1.16250E-05    4.20719E-06    1.39864E-07    1.78838E-05
        9.250    1.33961E-06    9.65514E-06    3.76564E-06    1.20032E-07    1.48804E-05
        9.500    9.39059E-07    8.05549E-06    3.37868E-06    1.03337E-07    1.24766E-05
        9.750    6.58496E-07    6.74990E-06    3.03690E-06    8.92310E-08    1.05345E-05
       10.000    4.61914E-07    5.67845E-06    2.73540E-06    7.72719E-08    8.95304E-06
       10.250    3.24130E-07    4.79528E-06    2.46729E-06    6.70996E-08    7.65380E-06
       10.500    2.27524E-07    4.06347E-06    2.22944E-06    5.84178E-08    6.57886E-06
       10.750    1.59767E-07    3.45488E-06    2.01664E-06    5.09866E-08    5.68228E-06
       11.000    1.12227E-07    2.94619E-06    1.82697E-06    4.46049E-08    4.93000E-06
       11.250    7.88598E-08    2.51979E-06    1.65635E-06    3.91107E-08    4.29410E-06
       11.500    5.54328E-08    2.16059E-06    1.50368E-06    3.43652E-08    3.75407E-06
       11.750    3.89787E-08    1.85738E-06    1.36567E-06    3.02578E-08    3.29229E-06
       12.000    2.74181E-08    1.60018E-06    1.24176E-06    2.66912E-08    2.89605E-06
       12.250    1.92929E-08    1.38171E-06    1.12933E-06    2.35891E-08    2.55392E-06
       12.500    1.35802E-08    1.19524E-06    1.02804E-06    2.08821E-08    2.25774E-06
       12.750    9.56223E-09    1.03597E-06    9.35868E-07    1.85172E-08    1.99992E-06
       13.000    6.73535E-09    8.99301E-07    8.52548E-07    1.64442E-08    1.77503E-06
       13.250    4.74576E-09    7.81984E-07    7.76585E-07    1.46256E-08    1.57794E-06
       13.500    3.34500E-09    6.80834E-07    7.07691E-07    1.30249E-08    1.40489E-06
       13.750    2.35846E-09    5.93624E-07    6.44806E-07    1.16155E-08    1.25240E-06
       14.000    1.66343E-09    5.18122E-07    5.87601E-07    1.03702E-08    1.11776E-06
       14.250    1.17360E-09    4.52769E-07    5.35346E-07    9.26995E-09    9.98559E-07
       14.500    8.28273E-10    3.95988E-07    4.87686E-07    8.29456E-09    8.92797E-07
       14.750    5.84744E-10    3.46669E-07    4.44135E-07    7.42999E-09    7.98818E-07
       15.000    4.12947E-10    3.03686E-07    4.04323E-07    6.66120E-09    7.15084E-07
