          %pt            TT            TS            SS            SS2j            Tot
        0.250    3.41934E-03    6.13657E-07    2.71213E-10    8.43735E-12    3.41995E-03
        0.500    4.97644E-03    4.90961E-06    5.24603E-09    2.20635E-10    4.98136E-03
        0.750    5.39941E-03    1.60946E-05    2.45208E-08    1.38076E-09    5.41553E-03
        1.000    5.17903E-03    3.41379E-05    5.95551E-08    4.38048E-09    5.21323E-03
        1.250    4.63495E-03    5.59498E-05    9.77787E-08    9.31682E-09    4.69101E-03
        1.500    3.96609E-03    7.79551E-05    1.24090E-07    1.54322E-08    4.04418E-03
        1.750    3.28868E-03    9.77770E-05    1.32372E-07    2.18393E-08    3.38662E-03
        2.000    2.66451E-03    1.14281E-04    1.25306E-07    2.80015E-08    2.77895E-03
        2.250    2.12105E-03    1.26914E-04    1.10367E-07    3.36834E-08    2.24810E-03
        2.500    1.66537E-03    1.35220E-04    9.37287E-08    3.87140E-08    1.80072E-03
        2.750    1.29343E-03    1.38764E-04    7.77488E-08    4.28492E-08    1.43231E-03
        3.000    9.95819E-04    1.37347E-04    6.34292E-08    4.57834E-08    1.13328E-03
        3.250    7.61277E-04    1.31226E-04    5.12065E-08    4.72447E-08    8.92602E-04
        3.500    5.78616E-04    1.21229E-04    4.10711E-08    4.71045E-08    6.99933E-04
        3.750    4.37690E-04    1.08685E-04    3.29070E-08    4.54618E-08    5.46453E-04
        4.000    3.29779E-04    9.51932E-05    2.64142E-08    4.26706E-08    4.25042E-04
        4.250    2.47654E-04    8.22820E-05    2.13310E-08    3.95417E-08    3.29997E-04
        4.500    1.85465E-04    6.97415E-05    1.73468E-08    3.57681E-08    2.55259E-04
        4.750    1.38567E-04    5.86769E-05    1.42317E-08    3.22749E-08    1.97290E-04
        5.000    1.03322E-04    4.85045E-05    1.17737E-08    2.84737E-08    1.51866E-04
        5.250    7.69106E-05    3.98749E-05    9.82643E-09    2.50839E-08    1.16820E-04
        5.500    5.71674E-05    3.22793E-05    8.26490E-09    2.16515E-08    8.94766E-05
        5.750    4.24390E-05    2.60390E-05    7.00489E-09    1.86895E-08    6.85037E-05
        6.000    3.14710E-05    2.07343E-05    5.97694E-09    1.58487E-08    5.22271E-05
        6.250    2.33155E-05    1.64886E-05    5.13181E-09    1.34677E-08    3.98228E-05
        6.500    1.72593E-05    1.29782E-05    4.43159E-09    1.12801E-08    3.02532E-05
        6.750    1.27670E-05    1.02232E-05    3.84610E-09    9.48833E-09    2.30035E-05
        7.000    9.43793E-06    7.99078E-06    3.35424E-09    7.89189E-09    1.74400E-05
        7.250    6.97306E-06    6.26299E-06    2.93725E-09    6.60769E-09    1.32456E-05
        7.500    5.14938E-06    4.88196E-06    2.58256E-09    5.48853E-09    1.00394E-05
        7.750    3.80098E-06    3.82123E-06    2.27833E-09    4.59661E-09    7.62908E-06
        8.000    2.80458E-06    2.97978E-06    2.01684E-09    3.82825E-09    5.79020E-06
        8.250    2.06865E-06    2.33539E-06    1.79025E-09    3.21877E-09    4.40905E-06
        8.500    1.52535E-06    1.82575E-06    1.59370E-09    2.69632E-09    3.35540E-06
        8.750    1.12443E-06    1.43513E-06    1.42200E-09    2.28110E-09    2.56327E-06
        9.000    8.28676E-07    1.12611E-06    1.27180E-09    1.92487E-09    1.95799E-06
        9.250    6.10574E-07    8.88538E-07    1.13971E-09    1.64044E-09    1.50189E-06
        9.500    4.49782E-07    7.00173E-07    1.02332E-09    1.39533E-09    1.15237E-06
        9.750    3.31272E-07    5.54720E-07    9.20346E-10    1.19826E-09    8.88110E-07
       10.000    2.43945E-07    4.39026E-07    8.29084E-10    1.02744E-09    6.84828E-07
       10.250    1.79612E-07    3.49241E-07    7.47891E-10    8.88956E-10    5.30490E-07
       10.500    1.32225E-07    2.77564E-07    6.75592E-10    7.68015E-10    4.11233E-07
       10.750    9.73282E-08    2.21659E-07    6.10944E-10    6.69198E-10    3.20267E-07
       11.000    7.16327E-08    1.76858E-07    5.53134E-10    5.82292E-10    2.49626E-07
       11.250    5.27154E-08    1.41746E-07    5.01222E-10    5.10685E-10    1.95473E-07
       11.500    3.87900E-08    1.13509E-07    4.54627E-10    4.47243E-10    1.53201E-07
       11.750    2.85406E-08    9.12746E-08    4.12641E-10    3.94582E-10    1.20622E-07
       12.000    2.09976E-08    7.33314E-08    3.74834E-10    3.47614E-10    9.50514E-08
       12.250    1.54469E-08    5.91441E-08    3.40663E-10    3.08339E-10    7.52400E-08
       12.500    1.13627E-08    4.76607E-08    3.09805E-10    2.73077E-10    5.96063E-08
       12.750    8.35784E-09    3.85442E-08    2.81842E-10    2.43403E-10    4.74273E-08
       13.000    6.14723E-09    3.11433E-08    2.56528E-10    2.16614E-10    3.77637E-08
       13.250    4.52105E-09    2.52480E-08    2.33540E-10    1.93925E-10    3.01965E-08
       13.500    3.32488E-09    2.04500E-08    2.12681E-10    1.73318E-10    2.41609E-08
       13.750    2.44507E-09    1.66154E-08    1.93710E-10    1.55778E-10    1.94099E-08
       14.000    1.79799E-09    1.34872E-08    1.76458E-10    1.39778E-10    1.56014E-08
       14.250    1.32210E-09    1.09800E-08    1.60750E-10    1.26081E-10    1.25889E-08
       14.500    9.72125E-10    8.93017E-09    1.46438E-10    1.13519E-10    1.01623E-08
       14.750    7.14767E-10    7.28304E-09    1.33397E-10    1.02724E-10    8.23393E-09
       15.000    5.25523E-10    5.93404E-09    1.21494E-10    9.27905E-11    6.67385E-09
