0.357532	-0.004374	0.006600324
0.454631	0.000573		0.004333774
0.552571	0.000835		0.004178828
0.651294	0.003922		0.00265041
0.750727	0.007381		0.002719485
0.849443	0.009189		0.003191446
0.949019	0.011578		0.003146897
1.04879	0.013586		0.003128854
1.14858	0.016403		0.00315725
1.24896	0.018067		0.003175568
1.34867	0.025701		0.003285548
1.44938	0.029377		0.003319977
1.54921	0.034276		0.003384498
1.64908	0.03625		0.003484398
1.74904	0.039714		0.003539352
1.84884	0.042111		0.003696095
1.94861	0.045025		0.003758997
