#: table_doi: 10.17182/hepdata.127980.v2/t2
#: name: Table 2
#: description: $p_\mathrm{T}$-differential production yield of prompt $\mathrm{D_s^+}$ mesons in the 30-50% centrality class in Pb-Pb collisions at $\sqrt{{s_\mathrm{NN}}}=5.02~\mathrm{{TeV}}$ in the rapidity interval $|y|<0.5$.
Branching ratio of $\mathrm{D_s^+\to \phi\pi^+\to K^-K^+\pi^+}$: 0.0224
#: data_file: table_2.yaml
#: keyword observables: DN/DPT
#: keyword reactions: PBPB --> Ds + X
#: keyword cmenergies: 5020.0
#: CENTRALITY,,,30.0-50.0 pct
#: REACTION,,,PBPB --> Ds + X
#: SQRT(S)/NUCLEON [GEV],,,5020.0
#: YRAP,,,-0.5 TO 0.5
$p_\mathrm{T}$ [$\mathrm{GeV}/c$],$p_\mathrm{T}$ [$\mathrm{GeV}/c$] LOW,$p_\mathrm{T}$ [$\mathrm{GeV}/c$] HIGH,$\mathrm{d}N/\mathrm{d}p_\mathrm{T}$ [$\mathrm{GeV}^{-1}~c$],stat +,stat -,sys +,sys -,"sys, branching ratio unc. +","sys, branching ratio unc. -"
2.5,2.0,3.0,0.074377,0.0096421,-0.0096421,0.011982,-0.016009,3.5714%,-3.5714%
3.5,3.0,4.0,0.030305,0.0023217,-0.0023217,0.0045763,-0.00646,3.5714%,-3.5714%
4.5,4.0,5.0,0.0099528,0.00068964,-0.00068964,0.0015709,-0.0023018,3.5714%,-3.5714%
5.5,5.0,6.0,0.0045664,0.00029343,-0.00029343,0.00076045,-0.0011541,3.5714%,-3.5714%
7.0,6.0,8.0,0.0014514,8.484e-05,-8.484e-05,0.00023443,-0.00035452,3.5714%,-3.5714%
10.0,8.0,12.0,0.00031528,1.6667e-05,-1.6667e-05,4.8315e-05,-7.5442e-05,3.5714%,-3.5714%
14.0,12.0,16.0,5.9722e-05,5.4997e-06,-5.4997e-06,7.4819e-06,-1.1927e-05,3.5714%,-3.5714%
20.0,16.0,24.0,1.496e-05,1.7569e-06,-1.7569e-06,1.7135e-06,-2.9233e-06,3.5714%,-3.5714%
30.0,24.0,36.0,1.7332e-06,4.9967e-07,-4.9967e-07,2.5058e-07,-4.1408e-07,3.5714%,-3.5714%

