          %pt            TT            TS            SS            SS2j            Tot
        0.250    1.39380E-01    1.09265E-03    2.78920E-06    1.58009E-08    1.40476E-01
        0.500    1.80191E-01    2.65621E-03    3.54372E-05    2.24393E-07    1.82883E-01
        0.750    1.69696E-01    3.79822E-03    1.15572E-04    9.46056E-07    1.73611E-01
        1.000    1.40277E-01    4.38999E-03    2.36131E-04    2.25775E-06    1.44906E-01
        1.250    1.07845E-01    4.58342E-03    3.73807E-04    3.92029E-06    1.12806E-01
        1.500    7.92035E-02    4.56800E-03    4.89388E-04    5.62696E-06    8.42665E-02
        1.750    5.64067E-02    4.44791E-03    5.42741E-04    7.12798E-06    6.14045E-02
        2.000    3.93175E-02    4.23861E-03    5.26092E-04    8.21545E-06    4.40904E-02
        2.250    2.69869E-02    3.92690E-03    4.75437E-04    8.74410E-06    3.13979E-02
        2.500    1.83161E-02    3.52466E-03    4.10115E-04    8.70365E-06    2.22596E-02
        2.750    1.23279E-02    3.07016E-03    3.40926E-04    8.21796E-06    1.57472E-02
        3.000    8.24547E-03    2.60425E-03    2.75151E-04    7.45363E-06    1.11323E-02
        3.250    5.48871E-03    2.15828E-03    2.17521E-04    6.55365E-06    7.87106E-03
        3.500    3.64025E-03    1.75282E-03    1.69740E-04    5.62325E-06    5.56844E-03
        3.750    2.40746E-03    1.39877E-03    1.31889E-04    4.73216E-06    3.94285E-03
        4.000    1.58864E-03    1.09993E-03    1.02623E-04    3.92265E-06    2.79511E-03
        4.250    1.04649E-03    8.54581E-04    8.03853E-05    3.21438E-06    1.98467E-03
        4.500    6.88421E-04    6.57908E-04    6.35198E-05    2.61246E-06    1.41246E-03
        4.750    4.52380E-04    5.03159E-04    5.07282E-05    2.11142E-06    1.00838E-03
        5.000    2.97019E-04    3.83285E-04    4.09394E-05    1.70107E-06    7.22944E-04
        5.250    1.94883E-04    2.91440E-04    3.33887E-05    1.36856E-06    5.21080E-04
        5.500    1.27802E-04    2.21676E-04    2.74983E-05    1.10132E-06    3.78077E-04
        5.750    8.37771E-05    1.68936E-04    2.28561E-05    8.87441E-07    2.76457E-04
        6.000    5.49009E-05    1.29192E-04    1.91585E-05    7.16808E-07    2.03968E-04
        6.250    3.59694E-05    9.92439E-05    1.61832E-05    5.80704E-07    1.51977E-04
        6.500    2.35621E-05    7.66563E-05    1.37673E-05    4.72137E-07    1.14458E-04
        6.750    1.54329E-05    5.95658E-05    1.17869E-05    3.85344E-07    8.71710E-05
        7.000    1.01077E-05    4.65871E-05    1.01515E-05    3.15822E-07    6.71621E-05
        7.250    6.61981E-06    3.66785E-05    8.78897E-06    2.59931E-07    5.23472E-05
        7.500    4.33550E-06    2.90737E-05    7.64741E-06    2.14861E-07    4.12715E-05
        7.750    2.83952E-06    2.31992E-05    6.68302E-06    1.78359E-07    3.29001E-05
        8.000    1.85983E-06    1.86334E-05    5.86474E-06    1.48690E-07    2.65067E-05
        8.250    1.21824E-06    1.50606E-05    5.16530E-06    1.24463E-07    2.15686E-05
        8.500    7.98052E-07    1.22468E-05    4.56512E-06    1.04605E-07    1.77146E-05
        8.750    5.22845E-07    1.00160E-05    4.04699E-06    8.82526E-08    1.46741E-05
        9.000    3.42582E-07    8.23618E-06    3.59805E-06    7.47364E-08    1.22516E-05
        9.250    2.24497E-07    6.80746E-06    3.20707E-06    6.35148E-08    1.03025E-05
        9.500    1.47134E-07    5.65360E-06    2.86549E-06    5.41642E-08    8.72039E-06
        9.750    9.64446E-08    4.71661E-06    2.56572E-06    4.63404E-08    7.42511E-06
       10.000    6.32275E-08    3.95138E-06    2.30197E-06    3.97710E-08    6.35634E-06
       10.250    4.14572E-08    3.32345E-06    2.06891E-06    3.42341E-08    5.46806E-06
       10.500    2.71871E-08    2.80544E-06    1.86263E-06    2.95515E-08    4.72481E-06
       10.750    1.78318E-08    2.37639E-06    1.67924E-06    2.55781E-08    4.09904E-06
       11.000    1.16977E-08    2.01924E-06    1.51610E-06    2.21955E-08    3.56924E-06
       11.250    7.67499E-09    1.72096E-06    1.37026E-06    1.93072E-08    3.11820E-06
       11.500    5.03651E-09    1.47067E-06    1.23998E-06    1.68332E-08    2.73252E-06
       11.750    3.30564E-09    1.26010E-06    1.12293E-06    1.47085E-08    2.40105E-06
       12.000    2.16999E-09    1.08215E-06    1.01800E-06    1.28784E-08    2.11520E-06
       12.250    1.42474E-09    9.31458E-07    9.23334E-07    1.12985E-08    1.86751E-06
       12.500    9.35604E-10    8.03316E-07    8.38185E-07    9.93043E-09    1.65237E-06
       12.750    6.14504E-10    6.94170E-07    7.61096E-07    8.74370E-09    1.46462E-06
       13.000    4.03677E-10    6.00845E-07    6.91551E-07    7.71128E-09    1.30051E-06
       13.250    2.65229E-10    5.20947E-07    6.28415E-07    6.81173E-09    1.15644E-06
       13.500    1.74296E-10    4.52298E-07    5.71306E-07    6.02575E-09    1.02980E-06
       13.750    1.14559E-10    3.93260E-07    5.19344E-07    5.33816E-09    9.18057E-07
       14.000    7.53097E-11    3.42317E-07    4.72232E-07    4.73501E-09    8.19360E-07
       14.250    4.95165E-11    2.98332E-07    4.29295E-07    4.20541E-09    7.31882E-07
       14.500    3.25631E-11    2.60236E-07    3.90283E-07    3.73919E-09    6.54291E-07
       14.750    2.14180E-11    2.27229E-07    3.54692E-07    3.32845E-09    5.85270E-07
       15.000    1.40900E-11    1.98547E-07    3.22291E-07    2.96568E-09    5.23818E-07
