          %pt            TT            TS            SS            SS2j            Tot
        0.250    1.45175E-03    3.01090E-07    2.11629E-10    4.80665E-12    1.45206E-03
        0.500    1.95288E-03    2.29067E-06    4.04525E-09    1.24183E-10    1.95517E-03
        0.750    1.95843E-03    7.17443E-06    1.87257E-08    7.70898E-10    1.96562E-03
        1.000    1.73626E-03    1.45808E-05    4.51075E-08    2.43215E-09    1.75089E-03
        1.250    1.43621E-03    2.29374E-05    7.35040E-08    5.15206E-09    1.45923E-03
        1.500    1.13590E-03    3.07094E-05    9.25919E-08    8.50725E-09    1.16671E-03
        1.750    8.70576E-04    3.70346E-05    9.79815E-08    1.20075E-08    9.07720E-04
        2.000    6.51941E-04    4.16253E-05    9.17631E-08    1.53559E-08    6.93673E-04
        2.250    4.79673E-04    4.44447E-05    7.98130E-08    1.84192E-08    5.24216E-04
        2.500    3.48106E-04    4.55058E-05    6.69681E-08    2.10982E-08    3.93700E-04
        2.750    2.49890E-04    4.48469E-05    5.48621E-08    2.32546E-08    2.94815E-04
        3.000    1.77825E-04    4.25946E-05    4.41914E-08    2.47192E-08    2.20489E-04
        3.250    1.25650E-04    3.90171E-05    3.51882E-08    2.53456E-08    1.64727E-04
        3.500    8.82702E-05    3.45263E-05    2.78270E-08    2.50709E-08    1.22849E-04
        3.750    6.17157E-05    2.96267E-05    2.19585E-08    2.39625E-08    9.13883E-05
        4.000    4.29792E-05    2.48264E-05    1.73602E-08    2.22313E-08    6.78452E-05
        4.250    2.98322E-05    2.05369E-05    1.37983E-08    2.03629E-08    5.04033E-05
        4.500    2.06494E-05    1.66538E-05    1.10486E-08    1.81803E-08    3.73324E-05
        4.750    1.42597E-05    1.34136E-05    8.92352E-09    1.62145E-08    2.76984E-05
        5.000    9.82763E-06    1.06129E-05    7.27213E-09    1.41185E-08    2.04619E-05
        5.250    6.76160E-06    8.35406E-06    5.97886E-09    1.22898E-08    1.51339E-05
        5.500    4.64533E-06    6.47310E-06    4.95768E-09    1.04654E-08    1.11339E-05
        5.750    3.18742E-06    5.00028E-06    4.14312E-09    8.92167E-09    8.20076E-06
        6.000    2.18469E-06    3.81184E-06    3.48819E-09    7.46072E-09    6.00748E-06
        6.250    1.49600E-06    2.90268E-06    2.95612E-09    6.25736E-09    4.40789E-06
        6.500    1.02356E-06    2.18683E-06    2.52109E-09    5.16458E-09    3.21807E-06
        6.750    6.99816E-07    1.64932E-06    2.16185E-09    4.28494E-09    2.35558E-06
        7.000    4.78166E-07    1.23392E-06    1.86363E-09    3.51078E-09    1.71746E-06
        7.250    3.26536E-07    9.25802E-07    1.61395E-09    2.89792E-09    1.25685E-06
        7.500    2.22879E-07    6.90515E-07    1.40390E-09    2.36983E-09    9.17167E-07
        7.750    1.52060E-07    5.17289E-07    1.22591E-09    1.95606E-09    6.72531E-07
        8.000    1.03703E-07    3.85936E-07    1.07445E-09    1.60386E-09    4.92318E-07
        8.250    7.06996E-08    2.89439E-07    9.44793E-10    1.32889E-09    3.62412E-07
        8.500    4.81844E-08    2.16431E-07    8.33356E-10    1.09589E-09    2.66545E-07
        8.750    3.28302E-08    1.62767E-07    7.37126E-10    9.13738E-10    1.97248E-07
        9.000    2.23631E-08    1.22152E-07    6.53712E-10    7.59243E-10    1.45928E-07
        9.250    1.52297E-08    9.22008E-08    5.81114E-10    6.37844E-10    1.08649E-07
        9.500    1.03695E-08    6.94763E-08    5.17715E-10    5.34414E-10    8.08980E-08
        9.750    7.05908E-09    5.26509E-08    4.62179E-10    4.52560E-10    6.06247E-08
       10.000    4.80465E-09    3.98458E-08    4.13354E-10    3.82360E-10    4.54461E-08
       10.250    3.26971E-09    3.03176E-08    3.70352E-10    3.26351E-10    3.42840E-08
       10.500    2.22482E-09    2.30386E-08    3.32314E-10    2.77967E-10    2.58737E-08
       10.750    1.51365E-09    1.75973E-08    2.98658E-10    2.39031E-10    1.96486E-08
       11.000    1.02968E-09    1.34255E-08    2.68724E-10    2.05124E-10    1.49290E-08
       11.250    7.00382E-10    1.02917E-08    2.42131E-10    1.77619E-10    1.14118E-08
       11.500    4.76347E-10    7.88020E-09    2.18367E-10    1.53499E-10    8.72841E-09
       11.750    3.23945E-10    6.06097E-09    1.97179E-10    1.33767E-10    6.71586E-09
       12.000    2.20284E-10    4.65647E-09    1.78166E-10    1.16328E-10    5.17125E-09
       12.250    1.49783E-10    3.59242E-09    1.61163E-10    1.01965E-10    4.00533E-09
       12.500    1.01838E-10    2.76828E-09    1.45846E-10    8.91942E-11    3.10516E-09
       12.750    6.92349E-11    2.14164E-09    1.32120E-10    7.85960E-11    2.42160E-09
       13.000    4.70669E-11    1.65495E-09    1.19706E-10    6.91060E-11    1.89083E-09
       13.250    3.19950E-11    1.28357E-09    1.08561E-10    6.11872E-11    1.48531E-09
       13.500    2.17483E-11    9.94346E-10    9.84498E-11    5.40611E-11    1.16861E-09
       13.750    1.47824E-11    7.72977E-10    8.93559E-11    4.80750E-11    9.25190E-10
       14.000    1.00472E-11    6.00184E-10    8.10844E-11    4.26546E-11    7.33970E-10
       14.250    6.82854E-12    4.67539E-10    7.36336E-11    3.80817E-11    5.86083E-10
       14.500    4.64080E-12    3.63770E-10    6.68401E-11    3.39238E-11    4.69175E-10
       14.750    3.15385E-12    2.83911E-10    6.07132E-11    3.03957E-11    3.78174E-10
       15.000    2.14325E-12    2.21317E-10    5.51169E-11    2.71707E-11    3.05748E-10
