          %pt            TT            TS            SS            SS2j            Tot
        0.250    9.15567E-02    1.87521E-03    2.62879E-03    5.86639E-08    9.60608E-02
        0.500    1.18685E-01    4.73829E-03    4.39457E-03    8.27293E-07    1.27819E-01
        0.750    1.11929E-01    6.88279E-03    4.95615E-03    3.48010E-06    1.23772E-01
        1.000    9.27428E-02    7.89660E-03    4.88759E-03    8.28913E-06    1.05535E-01
        1.250    7.16011E-02    8.03741E-03    4.57963E-03    1.43975E-05    8.42325E-02
        1.500    5.29340E-02    7.70356E-03    4.17941E-03    2.07262E-05    6.48377E-02
        1.750    3.80497E-02    7.14885E-03    3.68460E-03    2.63569E-05    4.89095E-02
        2.000    2.68431E-02    6.46586E-03    3.11636E-03    3.04602E-05    3.64558E-02
        2.250    1.86986E-02    5.68949E-03    2.57263E-03    3.24492E-05    2.69932E-02
        2.500    1.29134E-02    4.87202E-03    2.08507E-03    3.23034E-05    1.99028E-02
        2.750    8.86610E-03    4.07117E-03    1.66122E-03    3.05012E-05    1.46290E-02
        3.000    6.06361E-03    3.32831E-03    1.30456E-03    2.76462E-05    1.07241E-02
        3.250    4.13650E-03    2.66854E-03    1.01438E-03    2.42665E-05    7.84369E-03
        3.500    2.81753E-03    2.10292E-03    7.85106E-04    2.07570E-05    5.72632E-03
        3.750    1.91757E-03    1.63333E-03    6.08237E-04    1.73978E-05    4.17653E-03
        4.000    1.30469E-03    1.25380E-03    4.73649E-04    1.43538E-05    3.04649E-03
        4.250    8.87778E-04    9.54335E-04    3.71906E-04    1.17083E-05    2.22573E-03
        4.500    6.04324E-04    7.22403E-04    2.94869E-04    9.47550E-06    1.63107E-03
        4.750    4.11618E-04    5.45499E-04    2.36223E-04    7.63363E-06    1.20097E-03
        5.000    2.80573E-04    4.11936E-04    1.91180E-04    6.13654E-06    8.89827E-04
        5.250    1.91415E-04    3.11815E-04    1.56227E-04    4.93305E-06    6.64389E-04
        5.500    1.30713E-04    2.36993E-04    1.28833E-04    3.97114E-06    5.00510E-04
        5.750    8.93509E-05    1.81123E-04    1.07120E-04    3.20527E-06    3.80799E-04
        6.000    6.11415E-05    1.39319E-04    8.97575E-05    2.59575E-06    2.92814E-04
        6.250    4.18833E-05    1.07932E-04    7.57260E-05    2.11051E-06    2.27652E-04
        6.500    2.87223E-05    8.42414E-05    6.42999E-05    1.72325E-06    1.78987E-04
        6.750    1.97185E-05    6.62545E-05    5.49101E-05    1.41339E-06    1.42297E-04
        7.000    1.35520E-05    5.25029E-05    4.71428E-05    1.16447E-06    1.14362E-04
        7.250    9.32408E-06    4.19156E-05    4.06677E-05    9.63784E-07    9.28712E-05
        7.500    6.42209E-06    3.37027E-05    3.52399E-05    8.01222E-07    7.61659E-05
        7.750    4.42802E-06    2.72857E-05    3.06593E-05    6.69013E-07    6.30420E-05
        8.000    3.05631E-06    2.22342E-05    2.67750E-05    5.60964E-07    5.26265E-05
        8.250    2.11170E-06    1.82301E-05    2.34631E-05    4.72300E-07    4.42773E-05
        8.500    1.46052E-06    1.50337E-05    2.06262E-05    3.99194E-07    3.75196E-05
        8.750    1.01114E-06    1.24658E-05    1.81859E-05    3.38680E-07    3.20015E-05
        9.000    7.00707E-07    1.03893E-05    1.60774E-05    2.88360E-07    2.74557E-05
        9.250    4.86041E-07    8.70040E-06    1.42496E-05    2.46361E-07    2.36824E-05
        9.500    3.37453E-07    7.31881E-06    1.26583E-05    2.11159E-07    2.05257E-05
        9.750    2.34502E-07    6.18258E-06    1.12696E-05    1.81551E-07    1.78682E-05
       10.000    1.63103E-07    5.24333E-06    1.00525E-05    1.56551E-07    1.56155E-05
       10.250    1.13541E-07    4.46321E-06    8.98409E-06    1.35373E-07    1.36962E-05
       10.500    7.91060E-08    3.81224E-06    8.04239E-06    1.17369E-07    1.20511E-05
       10.750    5.51598E-08    3.26680E-06    7.21113E-06    1.02019E-07    1.06351E-05
       11.000    3.84931E-08    2.80780E-06    6.47492E-06    8.88862E-08    9.41009E-06
       11.250    2.68833E-08    2.42021E-06    5.82180E-06    7.76223E-08    8.34651E-06
       11.500    1.87894E-08    2.09154E-06    5.24091E-06    6.79299E-08    7.41917E-06
       11.750    1.31421E-08    1.81209E-06    4.72327E-06    5.95714E-08    6.60807E-06
       12.000    9.19877E-09    1.57349E-06    4.26113E-06    5.23407E-08    5.89617E-06
       12.250    6.44321E-09    1.36937E-06    3.84770E-06    4.60741E-08    5.26958E-06
       12.500    4.51620E-09    1.19402E-06    3.47730E-06    4.06263E-08    4.71645E-06
       12.750    3.16764E-09    1.04317E-06    3.14481E-06    3.58835E-08    4.22703E-06
       13.000    2.22322E-09    9.12861E-07    2.84598E-06    3.17417E-08    3.79280E-06
       13.250    1.56137E-09    8.00211E-07    2.57694E-06    2.81210E-08    3.40683E-06
       13.500    1.09723E-09    7.02417E-07    2.33445E-06    2.49460E-08    3.06291E-06
       13.750    7.71534E-10    6.17499E-07    2.11555E-06    2.21599E-08    2.75598E-06
       14.000    5.42837E-10    5.43450E-07    1.91778E-06    1.97074E-08    2.48148E-06
       14.250    3.82151E-10    4.78898E-07    1.73882E-06    1.75479E-08    2.23565E-06
       14.500    2.69181E-10    4.22381E-07    1.57681E-06    1.56403E-08    2.01510E-06
       14.750    1.89712E-10    3.72940E-07    1.42988E-06    1.39554E-08    1.81696E-06
       15.000    1.33776E-10    3.29497E-07    1.29664E-06    1.24621E-08    1.63873E-06
