# pt    v2
2.500000000000000000e-01    2.479488040286719278e-02
5.000000000000000000e-01    4.629591350047713993e-02
7.500000000000000000e-01    6.517169462549514403e-02
1.000000000000000000e+00    8.172344776696717494e-02
1.250000000000000000e+00    9.629743145795426063e-02
1.500000000000000000e+00    1.092053286198550882e-01
1.750000000000000000e+00    1.206344750201988197e-01
2.000000000000000000e+00    1.306455595706579320e-01
2.250000000000000000e+00    1.392604160759237930e-01
2.500000000000000000e+00    1.465493304257820817e-01
2.750000000000000000e+00    1.526303737824945828e-01
3.000000000000000000e+00    1.576430368207810129e-01
3.250000000000000000e+00    1.617359957634389167e-01
3.500000000000000000e+00    1.650554645793640973e-01
3.750000000000000000e+00    1.677352125930024751e-01
4.000000000000000000e+00    1.698889149568816592e-01
4.250000000000000000e+00    1.716060526814886522e-01
4.500000000000000000e+00    1.729543633355591636e-01
4.750000000000000000e+00    1.739814775250164147e-01
5.000000000000000000e+00    1.747222789428812539e-01
5.250000000000000000e+00    1.752013282476871381e-01
5.500000000000000000e+00    1.754398834536589069e-01
5.750000000000000000e+00    1.754568588336773427e-01
6.000000000000000000e+00    1.752734783655012230e-01
6.250000000000000000e+00    1.749125456364146736e-01
6.500000000000000000e+00    1.744007276294325115e-01
6.750000000000000000e+00    1.737663194074155204e-01
7.000000000000000000e+00    1.730398423916871264e-01
7.250000000000000000e+00    1.722512159475683147e-01
7.500000000000000000e+00    1.714296447665815126e-01
7.750000000000000000e+00    1.706010321211370862e-01
8.000000000000000000e+00    1.697881603336248990e-01
8.250000000000000000e+00    1.690089688102497933e-01
8.500000000000000000e+00    1.682773547540025172e-01
8.750000000000000000e+00    1.676024085129234342e-01
9.000000000000000000e+00    1.669896852907962193e-01
9.250000000000000000e+00    1.664410676035166237e-01
9.500000000000000000e+00    1.659559558725358097e-01
9.750000000000000000e+00    1.655316798787783983e-01
1.000000000000000000e+01    1.651642428092549575e-01
1.025000000000000000e+01    1.648487743957020857e-01
1.050000000000000000e+01    1.645800388166711870e-01
1.075000000000000000e+01    1.643526535310423919e-01
1.100000000000000000e+01    1.641614766402768322e-01
1.125000000000000000e+01    1.640015744547680399e-01
1.150000000000000000e+01    1.638685429962372930e-01
1.175000000000000000e+01    1.637582915588513544e-01
1.200000000000000000e+01    1.636673395940065057e-01
1.225000000000000000e+01    1.635925171656735511e-01
1.250000000000000000e+01    1.635312109579681872e-01
1.275000000000000000e+01    1.634810801050498030e-01
1.300000000000000000e+01    1.634402329467126713e-01
1.325000000000000000e+01    1.634069923464419316e-01
1.350000000000000000e+01    1.633800297452025208e-01
1.375000000000000000e+01    1.633581750672314647e-01
1.400000000000000000e+01    1.633405133585826008e-01
1.425000000000000000e+01    1.633262431313318996e-01
1.450000000000000000e+01    1.633147454710126567e-01
1.475000000000000000e+01    1.633054793680958905e-01
1.500000000000000000e+01    1.632980316172449597e-01
