# pt    v2
2.500000000000000000e-01    5.236397591665585549e-02
5.000000000000000000e-01    9.507373601182497747e-02
7.500000000000000000e-01    1.301150601447709498e-01
1.000000000000000000e+00    1.588630259606602924e-01
1.250000000000000000e+00    1.823650381167380430e-01
1.500000000000000000e+00    2.013789515998390400e-01
1.750000000000000000e+00    2.164324188378340397e-01
2.000000000000000000e+00    2.279533997106285015e-01
2.250000000000000000e+00    2.363967341435486424e-01
2.500000000000000000e+00    2.422595655458388009e-01
2.750000000000000000e+00    2.460244894378541547e-01
3.000000000000000000e+00    2.481338567448768684e-01
3.250000000000000000e+00    2.489781935838019655e-01
3.500000000000000000e+00    2.488947598539996697e-01
3.750000000000000000e+00    2.481467341081209088e-01
4.000000000000000000e+00    2.469369793692756943e-01
4.250000000000000000e+00    2.453934739629310136e-01
4.500000000000000000e+00    2.436023619869331636e-01
4.750000000000000000e+00    2.415974839249723782e-01
5.000000000000000000e+00    2.393972347071925966e-01
5.250000000000000000e+00    2.369935751482214470e-01
5.500000000000000000e+00    2.343813757366826900e-01
5.750000000000000000e+00    2.315471074095504511e-01
6.000000000000000000e+00    2.284905652254744235e-01
6.250000000000000000e+00    2.252128975493490615e-01
6.500000000000000000e+00    2.217321498235013399e-01
6.750000000000000000e+00    2.180721101246628491e-01
7.000000000000000000e+00    2.142722797508578303e-01
7.250000000000000000e+00    2.103765609510881429e-01
7.500000000000000000e+00    2.064398278739672243e-01
7.750000000000000000e+00    2.025164121626613911e-01
8.000000000000000000e+00    1.986642564130853272e-01
8.250000000000000000e+00    1.949351952424283052e-01
8.500000000000000000e+00    1.913775019348448458e-01
8.750000000000000000e+00    1.880288585516773914e-01
9.000000000000000000e+00    1.849194480212625891e-01
9.250000000000000000e+00    1.820677093101845945e-01
9.500000000000000000e+00    1.794836802310333379e-01
9.750000000000000000e+00    1.771676714038026013e-01
1.000000000000000000e+01    1.751133803297283686e-01
1.025000000000000000e+01    1.733082804151335199e-01
1.050000000000000000e+01    1.717359663870233755e-01
1.075000000000000000e+01    1.703770502735306447e-01
1.100000000000000000e+01    1.692111999171064807e-01
1.125000000000000000e+01    1.682173213212860285e-01
1.150000000000000000e+01    1.673752235441297864e-01
1.175000000000000000e+01    1.666653305963324838e-01
1.200000000000000000e+01    1.660699894403611099e-01
1.225000000000000000e+01    1.655726760701397848e-01
1.250000000000000000e+01    1.651591003912935007e-01
1.275000000000000000e+01    1.648161775427465503e-01
1.300000000000000000e+01    1.645329647489001401e-01
1.325000000000000000e+01    1.642995587637368637e-01
1.350000000000000000e+01    1.641078829017994511e-01
1.375000000000000000e+01    1.639507053991876850e-01
1.400000000000000000e+01    1.638222327107490550e-01
1.425000000000000000e+01    1.637173184100106094e-01
1.450000000000000000e+01    1.636318968956122777e-01
1.475000000000000000e+01    1.635623760008935446e-01
1.500000000000000000e+01    1.635059547201308805e-01
