# pt    v2
2.500000000000000000e-01    1.020680875760490052e-04
5.000000000000000000e-01    5.523089808273587290e-04
7.500000000000000000e-01    1.644055608726158191e-03
1.000000000000000000e+00    3.570443718818481268e-03
1.250000000000000000e+00    6.387128070861405015e-03
1.500000000000000000e+00    1.009330139377743844e-02
1.750000000000000000e+00    1.470564230438674638e-02
2.000000000000000000e+00    2.025393235791404789e-02
2.250000000000000000e+00    2.671119114674953832e-02
2.500000000000000000e+00    3.391833986623557506e-02
2.750000000000000000e+00    4.156443815594269148e-02
3.000000000000000000e+00    4.924403236133290118e-02
3.250000000000000000e+00    5.656135270644317009e-02
3.500000000000000000e+00    6.323103273919919443e-02
3.750000000000000000e+00    6.914511697803107926e-02
4.000000000000000000e+00    7.439467284461173668e-02
4.250000000000000000e+00    7.924832921404269259e-02
4.500000000000000000e+00    8.344091209887359584e-02
4.750000000000000000e+00    8.736599545074420770e-02
5.000000000000000000e+00    9.067829785852415947e-02
5.250000000000000000e+00    9.376745313653993275e-02
5.500000000000000000e+00    9.633265365173258876e-02
5.750000000000000000e+00    9.875074263611352543e-02
6.000000000000000000e+00    1.007535526944397242e-01
6.250000000000000000e+00    1.026806518218228298e-01
6.500000000000000000e+00    1.042913839784839619e-01
6.750000000000000000e+00    1.058932415534063337e-01
7.000000000000000000e+00    1.072656402718610569e-01
7.250000000000000000e+00    1.086752351236332931e-01
7.500000000000000000e+00    1.099193128768024691e-01
7.750000000000000000e+00    1.112299934996364426e-01
8.000000000000000000e+00    1.124205393912407758e-01
8.250000000000000000e+00    1.136857933811988852e-01
8.500000000000000000e+00    1.148564515049979584e-01
8.750000000000000000e+00    1.160974041261963602e-01
9.000000000000000000e+00    1.172570074646394206e-01
9.250000000000000000e+00    1.184729767165881575e-01
9.500000000000000000e+00    1.196123560884893994e-01
9.750000000000000000e+00    1.207907822594256886e-01
1.000000000000000000e+01    1.218937502352908792e-01
1.025000000000000000e+01    1.230178336682006407e-01
1.050000000000000000e+01    1.240662748079609662e-01
1.075000000000000000e+01    1.251201388878813991e-01
1.100000000000000000e+01    1.260986644083175179e-01
1.125000000000000000e+01    1.270696321159907605e-01
1.150000000000000000e+01    1.279669491132499337e-01
1.175000000000000000e+01    1.288471142269653480e-01
1.200000000000000000e+01    1.296565885523072170e-01
1.225000000000000000e+01    1.304424991656113197e-01
1.250000000000000000e+01    1.311619608054089559e-01
