# pt    v2
2.500000000000000000e-01    1.211428314294279041e-03
5.000000000000000000e-01    2.579490710539786551e-03
7.500000000000000000e-01    4.271199229562519864e-03
1.000000000000000000e+00    6.438984237354684545e-03
1.250000000000000000e+00    9.196884375658898741e-03
1.500000000000000000e+00    1.265160334242076447e-02
1.750000000000000000e+00    1.693940356296607178e-02
2.000000000000000000e+00    2.222642104593876289e-02
2.250000000000000000e+00    2.865854214526838972e-02
2.500000000000000000e+00    3.627757106771203888e-02
2.750000000000000000e+00    4.494717684979753630e-02
3.000000000000000000e+00    5.433752258022884335e-02
3.250000000000000000e+00    6.399285618935425524e-02
3.500000000000000000e+00    7.346167614166963789e-02
3.750000000000000000e+00    8.244077442762615116e-02
4.000000000000000000e+00    9.087699381810165900e-02
4.250000000000000000e+00    9.898448937731263442e-02
4.500000000000000000e+00    1.063269262310372054e-01
4.750000000000000000e+00    1.133286191298843448e-01
5.000000000000000000e+00    1.194879337395253344e-01
5.250000000000000000e+00    1.252660756185365321e-01
5.500000000000000000e+00    1.302603252686307389e-01
5.750000000000000000e+00    1.349312566078239017e-01
6.000000000000000000e+00    1.389518036951099822e-01
6.250000000000000000e+00    1.427311516881513975e-01
6.500000000000000000e+00    1.459986523405693848e-01
6.750000000000000000e+00    1.491081082446154837e-01
7.000000000000000000e+00    1.518289872802349727e-01
7.250000000000000000e+00    1.544468910122152316e-01
7.500000000000000000e+00    1.567649830800738053e-01
7.750000000000000000e+00    1.590135677852148044e-01
8.000000000000000000e+00    1.610245604647055628e-01
8.250000000000000000e+00    1.629754141168816006e-01
8.500000000000000000e+00    1.647266952651695593e-01
8.750000000000000000e+00    1.664179010131915382e-01
9.000000000000000000e+00    1.679359636751370788e-01
9.250000000000000000e+00    1.693884044186189652e-01
9.500000000000000000e+00    1.706874939002946678e-01
9.750000000000000000e+00    1.719172666009340100e-01
1.000000000000000000e+01    1.730114483974000417e-01
1.025000000000000000e+01    1.740355933580101377e-01
1.050000000000000000e+01    1.749414617454655985e-01
1.075000000000000000e+01    1.757802029259855070e-01
1.100000000000000000e+01    1.765175500251833784e-01
1.125000000000000000e+01    1.771935247929889434e-01
1.150000000000000000e+01    1.777844805093726499e-01
1.175000000000000000e+01    1.783213075243931245e-01
1.200000000000000000e+01    1.787881092027545360e-01
1.225000000000000000e+01    1.792088383393871664e-01
1.250000000000000000e+01    1.795730174790054756e-01
1.275000000000000000e+01    1.798988896609740873e-01
1.300000000000000000e+01    1.801797297016752564e-01
1.325000000000000000e+01    1.804295360811763171e-01
1.350000000000000000e+01    1.806440761498718794e-01
1.375000000000000000e+01    1.808338273090537573e-01
1.400000000000000000e+01    1.809962294671943472e-01
1.425000000000000000e+01    1.811392274252447698e-01
1.450000000000000000e+01    1.812612924535970393e-01
1.475000000000000000e+01    1.813682979622094626e-01
1.500000000000000000e+01    1.814593860937374625e-01
